# 国家地名信息库·极地地名
# https://dmfw.mca.gov.cn/polar.html
#
# 中文名称	国际通用名	实体类型

牛角半岛	Niujiao Bandao	Peninsula
牛郎山	Niulang Shan	Hill
牛头半岛	Niutou Bandao	Peninsula
牛眼湖	Niuyan Hu	Lake
牛仔湾	Niuzai Wan	Cove
牛嘴角	Niuzui Jiao	Point
盘龙山	Panlong Shan	Hill
跑道角	Paodao Jiao	Point
蓬莱半岛	Penglai Bandao	Peninsula
平湖	Ping Hu	Lake
平顶山	Pingding Shan	Hill
平顶岩柱	Pingding Yanzhu	Columns
平顶岩半岛	Pingdingyan Bandao	Peninsula
瓶子山	Pingzi Shan	Hill
鄱阳湖	Poyang Hu	Lake
普陀湾	Putuo Wan	Cove
企鹅岛	Qi'e Dao	Island
前山坡	Qianshan Po	Slope
栖凤岩	Qifeng Yan	Rock
清湖	Qing Hu	Lake
青城湖	Qingcheng Hu	Lake
青城山	Qingcheng Shan	Hill
青海湖	Qinghai Hu	Lake
青龙沟	Qinglong Gou	Gully
情人湖	Qingren Hu	Lake
清水河	Qingshui He	River
琼浆湖	Qiongjiang Hu	Lake
琼浆溪	Qiongjiang Xi	Stream
气象山	Qixiang Shan	Hill
气象学家湾	Qixiangxuejia Wan	Cove
七星岩	Qixing Yan	Rock
如来峰	Rulai Feng	Peak
三叉海岸	Sancha Hai'an	Shore
三号露岩	Sanhao Luyan	Rock
三角半岛	Sanjiao Bandao	Peninsula
三门峡	Sanmen Xia	Narrows
三清山	Sanqing Shan	Hill
山东半岛	Shandong Bandao	Peninsula
山海关峰	Shanhaiguan Feng	Peak
山羊尾半岛	Shanyangwei Bandao	Peninsula
蛇山	She Shan	Mound
生物湾	Shengwu Wan	Cove
神农冰川	Shennong Bingchuan	Glacier
神农湾	Shennong Wan	Cove
神农架峰	Shennongjia Feng	Peak
神仙池	Shenxian Chi	Lake
神州湾	Shenzhou Wan	Cove
石门半岛	Shimen Bandao	Peninsula
瘦平湖	Shouping Hu	Lake
双山	Shuang Shan	Hill
双峰岛	Shuangfeng Dao	Island
双峰山	Shuangfeng Shan	Hill
双子岛	Shuangzi Dao	Island
水晶岛	Shuijing Dao	Island
水晶湖	Shuijing Hu	Lake
四号露岩	Sihao Luyan	Rock
嵩山	Song Shan	Hill
太湖	Tai Hu	Lake
泰山	Tai Shan	Hill
太极峰	Taiji Feng	Peak
太平湾	Taiping Wan	Cove
太阳岛	Taiyang Dao	Island
太阳湖	Taiyang Hu	Lake
太阳山	Taiyang Shan	Hill
太子岭	Taizi Ling	Ridge
唐人山地	Tangren Shandi	Hillock
探险雪坡	Tanxian Xuepo	Slope
探险家角	Tanxianjia Jiao	Point
甜湖	Tian Hu	Lake
天鹅湖	Tian'e Hu	Lake
天鹅岭	Tian'e Ling	Mound
天鹤峰	Tianhe Feng	Peak
天龙半岛	Tianlong Bandao	Peninsula
天女散花群岛	Tiannüsanhua Qundao	Islands
天堂湾	Tiantang Wan	Cove
听涛湾	Tingtao Wan	Cove
通极冰脊	Tongji Bingji	Glacial Ridge
童子礁	Tongzi Jiao	Island
团结湖	Tuanjie Hu	Lake
蛙岛	Wa Dao	Island
外岛	Wai Dao	Island
望京岛	Wangjing Dao	Island
望龙岩	Wanglong Yan	Rock
王子山	Wangzi Shan	Hill
文成公主地	Wenchenggongzhu Di	Land
卧龙滩	Wolong Tan	Beach
武测山地	Wuce Shandi	Hillock
武当山地	Wudang Shandi	Hillock
五峰山	Wufeng Shan	Hill
蜈蚣岛	Wugong Dao	Island
五台山	Wutai Shan	Hill
五岩岗	Wuyan Gang	Mound
五岳半岛	Wuyue Bandao	Peninsula
五指山	Wuzhi Shan	Hill
西湖	Xi Hu	Lake
西岭	Xi Ling	Ridge
西山包	Xi Shanbao	Hill
西南高地	Xi'nan Gaodi	Upland
先锋岭	Xianfeng Ling	Ridge
香溪	Xiang Xi	Stream
香港岛	Xianggang Dao	Island
香蕉山	Xiangjiao Shan	Hill
香蜜湖	Xiangmi Hu	Lake
相思岛	Xiangsi Dao	Island
仙居岭	Xianju Ling	Hill
