# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

九州石		217	0010
九江村		218	0010
九江府		219	0010
九江国	(九江國)	220	0010
九江郡		221	0010
九阳堡	(九陽堡)	222	0010
九连山	(九連山)	223	0010
九连城	(九連城)	224	0010
九折坂		225	0010
九折岩		226	0010
九里山		227	0010
九里关	(九里關)	228	0010
九里村		229	0010
九里邑		230	0010
九里松		231	0010
九里城		232	0010
九陇县	(九隴縣)	233	0011
九陇郡	(九隴郡)	234	0011
九杵关	(九杵關)	235	0011
九侯山		236	0011
九星洋		237	0011
九宫山	(九宮山)	238	0011
九宫岭	(九宮嶺)	239	0011
九洲镇	(九洲鎮)	240	0011
九真县	(九真縣)	241	0011
九真郡		242	0011
九原山		243	0011
九原邑		244	0011
九原县	(九原縣)	245	0011
九原郡		246	0011
九原站		247	0011
九卿陂		248	0011
九皋山		249	0011
九渡水		250	0011
九道梁		251	0011
九溪卫	(九溪衛)	252	0011
九嵕山		253	0011
九疑山		254	0011
九德县	(九德縣)	255	0011
九德郡		256	0011
九十九冈	(九十九岡)	257	0011
九十九泉		258	0011
九曲青溪		259	0011
九疑鲁观	(九疑魯觀)	260	0012
九姓长官司	(九姓長官司)	261	0012
九垄银铜场	(九壟銀銅場)	262	0012
九姓罗氏党蛮夷长官千户所	(九姓羅氏黨蠻夷長官千户所)	263	0012
乃颜城	(乃顏城)	264	0012
刀靶水铺	(刀靶水鋪)	265	0012
力干县	(力干縣)	266	0012
三山		267	0012
三川		268	0012
三叉		269	0012
三卫	(三衛)	270	0012
三水		271	0012
三巴		272	0012
三市		273	0012
三台		274	0012
三边	(三邊)	275	0012
三亚	(三亞)	276	0012
三齐	(三齊)	277	0012
三关	(三關)	278	0013
三危		279	0013
三江		280	0013
三里		281	0013
三吴	(三吳)	282	0013
三沙		283	0014
三阿		284	0014
三陉	(三陘)	285	0014
三陂		286	0014
三迤		287	0014
三河		288	0014
三姓		289	0014
三城		290	0014
三荆		291	0014
三峡	(三峽)	292	0014
三泉		293	0014
三洲		294	0014
三秦		295	0014
三都		296	0014
三晋	(三晉)	297	0014
三桥	(三橋)	298	0015
三亳		299	0015
三辅	(三輔)	300	0015
三崤		301	0015
三赕	(三賧)	302	0015
三湘		303	0015
三楚		304	0015
三蜀		305	0015
三阙	(三闕)	306	0015
三溪		307	0015
三澎		308	0015
三魏		309	0015
三万卫	(三萬衛)	310	0015
三丈浦		311	0015
三山浦		312	0016
三山街		313	0016
三口浪		314	0016
三川口		315	0016
三川县	(三川縣)	316	0016
三川郡		317	0016
三川寨		318	0016
三门山	(三門山)	319	0016
三门县	(三門縣)	320	0016
三叉站		321	0016
三乡县	(三鄉縣)	322	0016
三乡城	(三鄉城)	323	0016
三乡镇	(三鄉鎮)	324	0016
三女寨		325	0016
三王城		326	0016
三王陵		327	0016
三元里		328	0016
三屯营	(三屯營)	329	0016
三冈县	(三岡縣)	330	0016
三分山		331	0016
三户山		332	0016
三户城		333	0016
三户津		334	0016
三水县	(三水縣)	335	0016
三水镇	(三水鎮)	336	0017
三龙县	(三龍縣)	337	0017
三归县	(三歸縣)	338	0017
三台县	(三台縣)	339	0017
三母山		340	0017
三亚港	(三亞港)	341	0017
三屿寨	(三嶼寨)	342	0017
三休亭		343	0017
三华镇	(三華鎮)	344	0017
三合站		345	0017
三会城	(三會城)	346	0017
三危山		347	0017
三交口		348	0017
三交驿	(三交驛)	349	0017
三交城		350	0017
三州镇	(三州鎮)	351	0017
三关镇	(三關鎮)	352	0017
三江口		353	0017
三江县	(三江縣)	354	0017
三江城		355	0017
三江寨		356	0017
三江镇	(三江鎮)	357	0017
三汲村		358	0017
三汊城		359	0017
三阳寨	(三陽寨)	360	0017
三防塘		361	0018
三村寨		362	0018
三里圩		363	0018
三里营	(三里營)	364	0018
三县镇	(三縣鎮)	365	0018
三岔坪		366	0018
三岔驿	(三岔驛)	367	0018
三岔堡		368	0018
三岔寨		369	0018
三角村		370	0018
三角坉	(三角{屯/土})	371	0018
三灶山		372	0018
三沙堡		373	0018
三层岭	(三層嶺)	374	0018
三陂站		375	0018
三林庄		376	0018
三茅山		377	0018
三贤祠	(三賢祠)	378	0018
三固山		379	0018
三旺州		380	0018
三垂山		381	0018
三垂冈	(三垂岡)	382	0018
三阜城		383	0018
三河戍		384	0018
三河尖		385	0018
三河县	(三河縣)	386	0018
三河站		387	0018
三河镇	(三河鎮)	388	0018
三学山	(三學山)	389	0018
三泊县	(三泊縣)	390	0019
三官堡		391	0019
三弥山	(三彌山)	392	0019
三封县	(三封縣)	393	0019
三封岭	(三封嶺)	394	0019
三要镇	(三要鎮)	395	0019
三垫镇	(三墊鎮)	396	0019
三鸦路	(三鴉路)	397	0019
三峡桥	(三峽橋)	398	0019
三界站		399	0019
三界堡		400	0019
三界镇	(三界鎮)	401	0019
三泉县	(三泉縣)	402	0019
三亭县	(三亭縣)	403	0019
三亭邑		404	0019
三洲驿	(三洲驛)	405	0019
三绛县	(三絳縣)	406	0019
三都厅	(三都廳)	407	0019
三都谷		408	0019
三都汛		409	0019
三原县	(三原縣)	410	0019
三峰山		411	0019
三堆城		412	0019
三盘山	(三盤山)	413	0019
三章城		414	0020
三渚城		415	0020
