# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

长乐宫	(長樂宮)	2832	0129
长乐寨	(長樂寨)	2833	0129
长乐镇	(長樂鎮)	2834	0129
长汀县	(長汀縣)	2835	0129
长汀溪	(長汀溪)	2836	0129
长宁山	(長寧山)	2837	0129
长宁川	(長寧川)	2838	0129
长宁军	(長寧軍)	2839	0129
长宁州	(長寧州)	2840	0129
长宁县	(長寧縣)	2841	0129
长宁谷	(長寧谷)	2842	0130
长宁郡	(長寧郡)	2843	0130
长宁镇	(長寧鎮)	2844	0130
长吉里	(長吉里)	2845	0130
长任镇	(長任鎮)	2846	0130
长庆县	(長慶縣)	2847	0130
长冲哨	(長沖哨)	2848	0130
长兴州	(長興州)	2849	0130
长兴县	(長興縣)	2850	0130
长兴堡	(長興堡)	2851	0130
长兴镇	(長興鎮)	2852	0130
长兴馆	(長興館)	2853	0130
长江县	(長江縣)	2854	0130
长江隘	(長江隘)	2855	0130
长池县	(長池縣)	2856	0130
长安州	(長安州)	2857	0130
长安县	(長安縣)	2858	0130
长安邑	(長安邑)	2859	0130
长安城	(長安城)	2860	0130
长安站	(長安站)	2861	0130
长安营	(長安營)	2862	0130
长安镇	(長安鎮)	2863	0130
长阳县	(長陽縣)	2864	0130
长寿村	(長壽村)	2865	0131
长寿县	(長壽縣)	2866	0131
长寿津	(長壽津)	2867	0131
长坝县	(長壩縣)	2868	0131
长芦水	(長蘆水)	2869	0131
长芦县	(長蘆縣)	2870	0131
长芦城	(長蘆城)	2871	0131
长杨县	(長楊縣)	2872	0131
长杨宫	(長楊宮)	2873	0131
长利县	(長利縣)	2874	0131
长利苑	(長利苑)	2875	0131
长沙平	(長沙平)	2876	0131
长沙场	(長沙場)	2877	0131
长沙寺	(長沙寺)	2878	0131
长沙村	(長沙村)	2879	0131
长沙县	(長沙縣)	2880	0131
长沙邑	(長沙邑)	2881	0131
长沙国	(長沙國)	2882	0131
长沙府	(長沙府)	2883	0131
长沙郡	(長沙郡)	2884	0131
长沙港	(長沙港)	2885	0132
长沙堡	(長沙堡)	2886	0132
长社县	(長社縣)	2887	0132
长社邑	(長社邑)	2888	0132
长青县	(長青縣)	2889	0132
长武县	(長武縣)	2890	0132
长武城	(長武城)	2891	0132
长林场	(長林場)	2892	0132
长林县	(長林縣)	2893	0132
长松县	(長松縣)	2894	0132
长松岛	(長松島)	2895	0132
长明县	(長明縣)	2896	0132
长岭关	(長嶺關)	2897	0132
长岭县	(長嶺縣)	2898	0132
长岭府	(長嶺府)	2899	0132
长岭镇	(長嶺鎮)	2900	0132
长治县	(長治縣)	2901	0132
长河县	(長河縣)	2902	0132
长河镇	(長河鎮)	2903	0132
长泽川	(長澤川)	2904	0132
长泽县	(長澤縣)	2905	0132
长春厅	(長春廳)	2906	0132
长春州	(長春州)	2907	0133
长春观	(長春觀)	2908	0133
长春县	(長春縣)	2909	0133
长春府	(長春府)	2910	0133
长春宫	(長春宮)	2911	0133
长春堡	(長春堡)	2912	0133
长垣县	(長垣縣)	2913	0133
长垣邑	(長垣邑)	2914	0133
长城戍	(長城戍)	2915	0133
长城县	(長城縣)	2916	0133
长城郡	(長城郡)	2917	0133
长城原	(長城原)	2918	0133
长城镇	(長城鎮)	2919	0133
长柳村	(長柳村)	2920	0133
长柳镇	(長柳鎮)	2921	0133
长秋镇	(長秋鎮)	2922	0133
长修县	(長修縣)	2923	0133
长修国	(長修國)	2924	0133
长泉县	(長泉縣)	2925	0133
长胜堡	(長勝堡)	2926	0133
长亭场	(長亭場)	2927	0133
长举县	(長舉縣)	2928	0133
长洲军	(長洲軍)	2929	0134
长洲县	(長洲縣)	2930	0134
长洲苑	(長洲苑)	2931	0134
长泰县	(長泰縣)	2932	0134
长泰馆	(長泰館)	2933	0134
长峪城	(長峪城)	2934	0134
长流水	(長流水)	2935	0134
长陵郡	(長陵郡)	2936	0134
长陵县	(長陵縣)	2937	0134
长蛇县	(長蛇縣)	2938	0134
长蛇镇	(長蛇鎮)	2939	0134
长清县	(長清縣)	2940	0134
长渊县	(長淵縣)	2941	0134
长淮卫	(長淮衛)	2942	0134
长葛县	(長葛縣)	2943	0134
长葛邑	(長葛邑)	2944	0134
长最城	(長最城)	2945	0134
长道县	(長道縣)	2946	0134
长道郡	(長道郡)	2947	0134
长湖郡	(長湖郡)	2948	0134
长塘湖	(長塘湖)	2949	0134
长源乡	(長源鄉)	2950	0134
长溪县	(長溪縣)	2951	0134
长寨厅	(長寨廳)	2952	0134
长春铺	(長春鋪)	2953	0135
长薄城	(長薄城)	2954	0135
长罗侯国	(長羅侯國)	2955	0135
长芦盐运司	(長蘆鹽運司)	2956	0135
长河西鱼通宁远宣慰司	(長河西魚通寧遠宣慰司)	2957	0135
斤沟	(斤溝)	2958	0135
斤城县	(斤城縣)	2959	0135
爪邑		2960	0135
欠州		2961	0135
欠河		2962	0135
欠欠州		2963	0135
乌水	(烏水)	2964	0135
乌州	(烏州)	2965	0135
乌江	(烏江)	2966	0135
乌赤	(烏赤)	2967	0135
乌林	(烏林)	2968	0135
乌海	(烏海)	2969	0135
乌镇	(烏鎮)	2970	0135
乌山县	(烏山縣)	2971	0135
乌山站	(烏山站)	2972	0135
乌门关	(烏門關)	2973	0135
乌飞县	(烏飛縣)	2974	0135
乌云厅	(烏云廳)	2975	0135
乌支县	(烏支縣)	2976	0135
乌仑寨	(烏侖寨)	2977	0135
乌什厅	(烏什廳)	2978	0135
乌氏县	(烏氏縣)	2979	0135
乌氏国	(烏氏國)	2980	0135
乌玉河	(烏玉河)	2981	0135
乌石山	(烏石山)	2982	0136
乌石屯	(烏石屯)	2983	0136
乌石站	(烏石站)	2984	0136
乌龙山	(烏龍山)	2985	0136
乌龙寨	(烏龍寨)	2986	0136
乌龙集	(烏龍集)	2987	0136
乌兰县	(烏蘭縣)	2988	0136
乌延城	(烏延城)	2989	0136
乌伤县	(烏傷縣)	2990	0136
乌衣巷	(烏衣巷)	2991	0136
乌衣镇	(烏衣鎮)	2992	0136
乌江关	(烏江關)	2993	0136
乌江县	(烏江縣)	2994	0136
乌孙国	(烏孫國)	2995	0136
乌那水	(烏那水)	2996	0136
乌苏城	(烏蘇城)	2997	0136
乌岩山	(烏岩山)	2998	0136
乌岭山	(烏嶺山)	2999	0136
乌鸣关	(烏鳴關)	3000	0136
乌秅国	(烏秅國)	3001	0136
乌泥泾	(烏泥涇)	3002	0136
乌河县	(烏河縣)	3003	0136
乌孤山	(烏孤山)	3004	0136
乌城驿	(烏城驛)	3005	0136
乌思藏	(烏思藏)	3006	0136
乌浒水	(烏滸水)	3007	0136
乌突戍	(烏突戍)	3008	0136
乌突县	(烏突縣)	3009	0136
乌突郡	(烏突郡)	3010	0137
乌垒州	(烏壘州)	3011	0137
乌垒国	(烏壘國)	3012	0137
乌耆国	(烏耆國)	3013	0137
乌桓山	(烏桓山)	3014	0137
乌骨城	(烏骨城)	3015	0137
乌禽嶂	(烏禽嶂)	3016	0137
乌猪山	(烏豬山)	3017	0137
乌巢泽	(烏巢澤)	3018	0137
乌斯藏	(烏斯藏)	3019	0137
乌程县	(烏程縣)	3020	0137
乌湖岛	(烏湖島)	3021	0137
乌湖海	(烏湖海)	3022	0137
乌蒙部	(烏蒙部)	3023	0137
乌蒙府	(烏蒙府)	3024	0137
乌蒙路	(烏蒙路)	3025	0137
乌雷山	(烏雷山)	3026	0137
乌雷州	(烏雷州)	3027	0137
乌雷县	(烏雷縣)	3028	0137
乌槎堡	(烏槎堡)	3029	0137
乌墩寨	(烏墩寨)	3030	0137
乌撒府	(烏撒府)	3031	0137
乌撒卫	(烏撒衛)	3032	0137
乌撒驿	(烏撒驛)	3033	0138
乌撒路	(烏撒路)	3034	0138
乌缠国	(烏纏國)	3035	0138
乌龙沟口	(烏龍溝口)	3036	0138
乌都鞬山	(烏都鞬山)	3037	0138
乌城守捉	(烏城守捉)	3038	0138
乌宰守捉	(烏宰守捉)	3039	0138
乌鲁古河	(烏魯古河)	3040	0138
乌德健山	(烏德健山)	3041	0138
乌德鞬山	(烏德鞬山)	3042	0138
乌横岭堡	(烏橫嶺堡)	3043	0138
乌罗长官司	(烏羅長官司)	3044	0138
乌罗德健山	(烏羅德健山)	3045	0138
乌贪眦离国	(烏貪眥離國)	3046	0138
乌里雅苏特城	(烏里雅蘇特城)	3047	0138
乌江等处长官司	(烏江等處長官司)	3048	0138
乌里雅苏台统部	(烏里雅蘇台統部)	3049	0138
乌撒乌蒙宣慰司	(烏撒烏蒙宣慰司)	3050	0138
乌罗龙干等处长官司	(烏羅龍干等處長官司)	3051	0138
勿阳峒	(勿陽峒)	3052	0138
勿恶峒	(勿惡峒)	3053	0138
勾吴国	(勾吳國)	3054	0138
勾城塘		3055	0138
勾漏山		3056	0138
丹水		3057	0138
丹州		3058	0138
丹阳	(丹陽)	3059	0139
丹邑		3060	0139
丹良		3061	0139
丹山县	(丹山縣)	3062	0139
丹川县	(丹川縣)	3063	0139
丹川郡		3064	0139
丹水县	(丹水縣)	3065	0139
丹丘邑		3066	0139
丹头寨	(丹頭寨)	3067	0139
丹竹楼	(丹竹樓)	3068	0139
丹江厅	(丹江廳)	3069	0139
丹兴县	(丹興縣)	3070	0139
丹阳县	(丹陽縣)	3071	0139
丹阳城	(丹陽城)	3072	0139
丹阳郡	(丹陽郡)	3073	0139
丹阳镇	(丹陽鎮)	3074	0139
丹岭县	(丹嶺縣)	3075	0139
丹南县	(丹南縣)	3076	0139
丹徒县	(丹徒縣)	3077	0139
丹徒镇	(丹徒鎮)	3078	0139
丹渠谷		3079	0139
丹棱县	(丹稜縣)	3080	0140
丹溪县	(丹溪縣)	3081	0140
丹噶尔城	(丹噶爾城)	3082	0140
丹平长官司	(丹平長官司)	3083	0140
丹行长官司	(丹行長官司)	3084	0140
月港		3085	0140
月山县	(月山縣)	3086	0140
月氏道		3087	0140
月华寺	(月華寺)	3088	0140
月浦镇	(月浦鎮)	3089	0140
月儿灭怯土	(月兒滅怯土)	3090	0140
月支都督府		3091	0140
月氏都督府		3092	0140
月忒哥忽阑	(月忒哥忽闌)	3093	0140
月帖古忽阑	(月帖古忽闌)	3094	0140
风泾	(風涇)	3095	0140
风陵渡	(風陵渡)	3096	0140
风雩山	(風雩山)	3097	0140
凤山	(鳳山)	3098	0140
凤州	(鳳州)	3099	0140
凤县	(鳳縣)	3100	0140
凤邹	(鳳鄒)	3101	0140
凤林	(鳳林)	3102	0140
凤翔	(鳳翔)	3103	0140
凤山县	(鳳山縣)	3104	0140
凤门口	(鳳門口)	3105	0141
凤冈墟	(鳳岡墟)	3106	0141
凤兰茸	(鳳蘭茸)	3107	0141
凤台县	(鳳台縣)	3108	0141
凤羽县	(鳳羽縣)	3109	0141
凤羽郡	(鳳羽郡)	3110	0141
凤阳门	(鳳陽門)	3111	0141
凤阳县	(鳳陽縣)	3112	0141
凤阳府	(鳳陽府)	3113	0141
凤林关	(鳳林關)	3114	0141
凤林县	(鳳林縣)	3115	0141
凤林郡	(鳳林郡)	3116	0141
凤泉县	(鳳泉縣)	3117	0141
凤泉驿	(鳳泉驛)	3118	0141
凤陵津	(鳳陵津)	3119	0141
凤凰山	(鳳凰山)	3120	0141
凤凰厅	(鳳凰廳)	3121	0141
凤凰台	(鳳凰台)	3122	0141
凤凰寺	(鳳凰寺)	3123	0141
凤凰谷	(鳳凰谷)	3124	0141
凤凰堡	(鳳凰堡)	3125	0141
凤栖郡	(鳳栖郡)	3126	0141
凤翔县	(鳳翔縣)	3127	0141
凤翔府	(鳳翔府)	3128	0141
凤翔郡	(鳳翔郡)	3129	0142
凤翔路	(鳳翔路)	3130	0142
凤门凹隘	(鳳門凹隘)	3131	0142
凤溪长官司	(鳳溪長官司)	3132	0142
计峒	(計峒)	3133	0142
计斤县	(計斤縣)	3134	0142
计斤邑	(計斤邑)	3135	0142
卞山		3136	0142
卞水		3137	0142
卞县	(卞縣)	3138	0142
卞邑		3139	0142
卞塘镇	(卞塘鎮)	3140	0142
六川		3141	0142
六井		3142	0142
六水		3143	0142
六县	(六縣)	3144	0142
六诏	(六詔)	3145	0142
六国	(六國)	3146	0142
六陌		3147	0142
六峒		3148	0142
六种	(六種)	3149	0142
六郡		3150	0142
六街		3151	0142
六镇	(六鎮)	3152	0143
六丈镇	(六丈鎮)	3153	0143
六广驿	(六廣驛)	3154	0143
六门堰	(六門堰)	3155	0143
六同郡		3156	0143
六合山		3157	0143
六合县	(六合縣)	3158	0143
六安军	(六安軍)	3159	0143
六安州		3160	0143
六安县	(六安縣)	3161	0143
六安国	(六安國)	3162	0143
六明镇	(六明鎮)	3163	0143
六度县	(六度縣)	3164	0143
六胡州		3165	0143
六神港		3166	0143
六辅渠	(六輔渠)	3167	0143
六盘关	(六盤關)	3168	0143
六塘墟		3169	0143
六壁城		3170	0143
六安侯国	(六安侯國)	3171	0143
六都护府	(六都護府)	3172	0144
六鳌千户所	(六鰲千户所)	3173	0144
六广等处长官司	(六廣等處長官司)	3174	0144
六寨等处长官司	(六寨等處長官司)	3175	0144
六洞柔远等处长官司	(六洞柔遠等處長官司)	3176	0144
文山		3177	0144
文州		3178	0144
文县	(文縣)	3179	0144
文山县	(文山縣)	3180	0144
文乡城	(文鄉城)	3181	0144
文水县	(文水縣)	3182	0144
文石津		3183	0144
文成县	(文成縣)	3184	0144
文安县	(文安縣)	3185	0144
文阳县	(文陽縣)	3186	0144
文招县	(文招縣)	3187	0144
文昌县	(文昌縣)	3188	0144
文明镇	(文明鎮)	3189	0144
文君井		3190	0144
文城县	(文城縣)	3191	0145
文城郡		3192	0145
文城栅	(文城柵)	3193	0145
文城镇	(文城鎮)	3194	0145
文侯乡	(文侯鄉)	3195	0145
文殊寨		3196	0145
文登县	(文登縣)	3197	0145
文登营	(文登營)	3198	0145
文德乡	(文德鄉)	3199	0145
文德县	(文德縣)	3200	0145
文县千户所	(文縣千户所)	3201	0145
文扶州万户府	(文扶州萬户府)	3202	0145
方山		3203	0145
方州		3204	0145
方林		3205	0145
方城		3206	0145
方与县	(方與縣)	3207	0146
方山关	(方山關)	3208	0146
方山县	(方山縣)	3209	0146
方山埭		3210	0146
方山原		3211	0146
方义县	(方義縣)	3212	0146
方石镇	(方石鎮)	3213	0146
方秀川		3214	0146
方伯阜		3215	0146
方城山		3216	0146
方城县	(方城縣)	3217	0146
方城郡		3218	0146
方度县	(方度縣)	3219	0146
方亭县	(方亭縣)	3220	0146
方剑站	(方劍站)	3221	0146
方家集		3222	0146
方家堰		3223	0146
方维县	(方維縣)	3224	0146
方渠县	(方渠縣)	3225	0146
方渠寨		3226	0146
方舆邑	(方輿邑)	3227	0146
方番长官司	(方番長官司)	3228	0146
方番河中府安抚司	(方番河中府安撫司)	3229	0146
亢父县	(亢父縣)	3230	0146
亢父邑		3231	0146
户牖邑		3232	0146
户撒长官司	(户撒長官司)	3233	0146
火山		3234	0147
火州		3235	0147
火寻	(火尋)	3236	0147
火孛		3237	0147
火山军	(火山軍)	3238	0147
火山州		3239	0147
火山县	(火山縣)	3240	0147
火井县	(火井縣)	3241	0147
火灼堡		3242	0147
火峰寨		3243	0147
火站河		3244	0147
火烧屿	(火燒嶼)	3245	0147
火烧沟	(火燒溝)	3246	0147
火烟站	(火煙站)	3247	0147
火鲁火疃谋克	(火魯火疃謀克)	3248	0147
为美县	(為美縣)	3249	0147
斗山		3250	0147
斗城		3251	0147
斗亭		3252	0147
斗门城	(斗門城)	3253	0147
斗门镇	(斗門鎮)	3254	0147
斗六门	(斗六門)	3255	0147
斗焰关	(斗焰關)	3256	0147
斗塘隘		3257	0147
邓	(鄧)	3258	0147
邓州	(鄧州)	3259	0147
邓邑	(鄧邑)	3260	0147
邓林	(鄧林)	3261	0148
邓国	(鄧國)	3262	0148
邓川州	(鄧川州)	3263	0148
邓川县	(鄧川縣)	3264	0148
邓公山	(鄧公山)	3265	0148
邓公场	(鄧公場)	3266	0148
邓宁郡	(鄧寧郡)	3267	0148
邓至城	(鄧至城)	3268	0148
邓坎寨	(鄧坎寨)	3269	0148
邓城县	(鄧城縣)	3270	0148
邓尉山	(鄧尉山)	3271	0148
邓寨城	(鄧寨城)	3272	0148
邓家埠市	(鄧家埠市)	3273	0148
劝农县	(勸農縣)	3274	0148
双州	(雙州)	3275	0148
双岛	(雙島)	3276	0148
双城	(雙城)	3277	0148
双桥	(雙橋)	3278	0148
双女石	(雙女石)	3279	0148
双女屿	(雙女嶼)	3280	0148
双井镇	(雙井鎮)	3281	0148
双屿港	(雙嶼港)	3282	0148
双沟镇	(雙溝鎮)	3283	0148
双林镇	(雙林鎮)	3284	0148
双城卫	(雙城衛)	3285	0148
双城子	(雙城子)	3286	0148
双城厅	(雙城廳)	3287	0149
双城州	(雙城州)	3288	0149
双城县	(雙城縣)	3289	0149
双柏县	(雙柏縣)	3290	0149
双威寨	(雙威寨)	3291	0149
双泉州	(雙泉州)	3292	0149
双栢县	(雙栢縣)	3293	0149
双桥镇	(雙橋鎮)	3294	0149
双恩场	(雙恩場)	3295	0149
双流县	(雙流縣)	3296	0149
双牌站	(雙牌站)	3297	0149
双溪口	(雙溪口)	3298	0149
双溪隘	(雙溪隘)	3299	0149
双髻山	(雙髻山)	3300	0149
双靡州	(雙靡州)	3301	0149
双穗盐场	(雙穗鹽場)	3302	0149
双鱼千户所	(雙魚千户所)	3303	0149
双河都督府	(雙河都督府)	3304	0149
双城总管府	(雙城總管府)	3305	0149
孔城		3306	0149
孔夫关	(孔夫關)	3307	0149
孔函谷		3308	0149
孔城防		3309	0149
孔城镇	(孔城鎮)	3310	0149
孔家集		3311	0149
孔雀山		3312	0149
孔提县	(孔提縣)	3313	0149
孔家冈镇	(孔家岡鎮)	3314	0149
〖U+20676〗𠙶山	({凵了}山)	3315	0150
允川		3316	0150
允州		3317	0150
允吾县	(允吾縣)	3318	0150
允街县	(允街縣)	3319	0150
允州等处长官司	(允州等處長官司)	3320	0150
尹州		3321	0150
尹邑		3322	0150
尹公亭		3323	0150
尹卯垒	(尹卯壘)	3324	0150
尹家卫	(尹家衛)	3325	0150
尹隆河		3326	0150
巴口		3327	0150
巴山		3328	0150
巴水		3329	0150
巴丘		3330	0150
巴州		3331	0150
巴江		3332	0150
巴县	(巴縣)	3333	0150
巴补	(巴補)	3334	0150
巴国	(巴國)	3335	0151
巴岭	(巴嶺)	3336	0151
巴城		3337	0151
巴峡	(巴峽)	3338	0151
巴郡		3339	0151
巴普		3340	0151
巴山县	(巴山縣)	3341	0151
巴山郡		3342	0151
巴川县	(巴川縣)	3343	0151
巴川郡		3344	0151
巴子台		3345	0151
巴子国	(巴子國)	3346	0151
巴中县	(巴中縣)	3347	0151
巴公原		3348	0151
巴东县	(巴東縣)	3349	0151
巴东郡	(巴東郡)	3350	0151
巴丘城		3351	0151
巴丘湖		3352	0151
巴西县	(巴西縣)	3353	0151
巴西郡		3354	0151
巴戎县	(巴戎縣)	3355	0151
巴江县	(巴江縣)	3356	0152
巴兴县	(巴興縣)	3357	0152
巴邱县	(巴邱縣)	3358	0152
巴哈兰	(巴哈蘭)	3359	0152
巴铃箐	(巴鈴箐)	3360	0152
巴陵县	(巴陵縣)	3361	0152
巴陵郡		3362	0152
巴鲁安	(巴魯安)	3363	0152
巴渠县	(巴渠縣)	3364	0152
巴渠郡		3365	0152
巴楚州		3366	0152
巴颜州	(巴顏州)	3367	0152
巴燕县	(巴燕縣)	3368	0152
巴儿思渴	(巴兒思渴)	3369	0152
巴东属国	(巴東屬國)	3370	0152
巴达哈伤	(巴達哈傷)	3371	0152
巴惕客先		3372	0152
巴勒喀什池		3373	0152
巴燕戎格厅	(巴燕戎格廳)	3374	0152
巴西.梓潼二郡		3375	0152
水口		3376	0152
水东	(水東)	3377	0152
水西		3378	0152
水尾		3379	0152
水窦	(水竇)	3380	0152
水口关	(水口關)	3381	0153
水口站		3382	0153
水口隘		3383	0153
水口寨		3384	0153
水口镇	(水口鎮)	3385	0153
水车岭	(水車嶺)	3386	0153
水北墟		3387	0153
水务镇	(水務鎮)	3388	0153
水西寺		3389	0153
水西村		3390	0153
水西城		3391	0153
水羊寨		3392	0153
水池县	(水池縣)	3393	0153
水观音	(水觀音)	3394	0153
水阳镇	(水陽鎮)	3395	0153
水城厅	(水城廳)	3396	0153
水南县	(水南縣)	3397	0153
水泉关	(水泉關)	3398	0153
水洞沟	(水洞溝)	3399	0153
水洛县	(水洛縣)	3400	0153
水洛城		3401	0153
水桥屯	(水橋屯)	3402	0153
水逻城	(水邏城)	3403	0153
水堡寨		3404	0153
水塘铺	(水塘鋪)	3405	0153
水漕铺	(水漕鋪)	3406	0153
水澳寨		3407	0153
水达达路	(水達達路)	3408	0153
水沙连厅	(水沙連廳)	3409	0154
水东长官司	(水東長官司)	3410	0154
水东寨长官司	(水東寨長官司)	3411	0154
水特姜长官司	(水特姜長官司)	3412	0154
水德江长官司	(水德江長官司)	3413	0154
水东犵狫长官司	(水東犵狫長官司)	3414	0154
水烟等处长官司	(水煙等處長官司)	3415	0154
母丘邑		3416	0154
毋极县	(毋极縣)	3417	0154
毋单县	(毋單縣)	3418	0154
毋掇县	(毋掇縣)	3419	0154
毋敛县	(毋歛縣)	3420	0154
书坊街	(書坊街)	3421	0154
书堂山	(書堂山)	3422	0154
刊都		3423	0154
邗沟	(邗溝)	3424	0154
邗城		3425	0154
邗州		3426	0154
邗江县	(邗江縣)	3427	0154
邘国	(邘國)	3428	0154
巧家厅	(巧家廳)	3429	0154
邛州		3430	0154
邛池		3431	0154
邛县	(邛縣)	3432	0154
邛窑	(邛窯)	3433	0155
邛道		3434	0155
邛水县	(邛水縣)	3435	0155
邛都县	(邛都縣)	3436	0155
邛崃山	(邛崍山)	3437	0155
邛崃关	(邛崍關)	3438	0155
邛部州		3439	0155
邛部县	(邛部縣)	3440	0155
邛部郡		3441	0155
邛崃大山	(邛崍大山)	3442	0155
邛崃守捉	(邛崍守捉)	3443	0155
邛水长官司	(邛水長官司)	3444	0155
邛部长官司	(邛部長官司)	3445	0155
邛部宣抚司	(邛部宣撫司)	3446	0155
邛部川安抚司	(邛部川安撫司)	3447	0155
邛水十五洞长官司	(邛水十五洞長官司)	3448	0155
功州		3449	0155
功饶州	(功饒州)	3450	0155
功剩桥镇	(功剩橋鎮)	3451	0155
打狗山		3452	0155
打狗港		3453	0155
打面梁		3454	0155
打造馆	(打造館)	3455	0155
打铁关	(打鐵關)	3456	0155
打鼓山		3457	0155
打鼻山		3458	0155
打箭炉	(打箭爐)	3459	0155
打牲乌拉	(打牲烏拉)	3460	0155
打箭炉厅	(打箭爐廳)	3461	0156
扒埠		3462	0156
札岭卫	(札嶺衛)	3463	0156
札不剌站		3464	0156
札肥河卫	(札肥河衛)	3465	0156
札赉诺尔	(札賚諾爾)	3466	0156
札佐长官司	(札佐長官司)	3467	0156
札萨克图汗部	(札薩克圖汗部)	3468	0156
札萨克图汗旗	(札薩克圖汗旗)	3469	0156
艾山		3470	0156
艾县	(艾縣)	3471	0156
艾邑		3472	0156
艾塘城		3473	0156
艾亭城		3474	0156
艾陵邑		3475	0156
艾陵湖		3476	0156
节义峰	(節義峰)	3477	0156
平水		3478	0156
平卢	(平盧)	3479	0156
平田		3480	0156
平乐	(平樂)	3481	0156
平台		3482	0156
平州		3483	0156
平阳	(平陽)	3484	0157
平县	(平縣)	3485	0157
平邑		3486	0157
平林		3487	0157
平亭		3488	0157
平原		3489	0157
平陵		3490	0157
平望		3491	0156
平渡		3492	0157
平干国	(平干國)	3493	0157
平山县	(平山縣)	3494	0157
平山站		3495	0157
平山驿	(平山驛)	3496	0157
平川驿	(平川驛)	3497	0157
平乡县	(平鄉縣)	3498	0157
平氏县	(平氏縣)	3499	0157
平氏店		3500	0157
平水市		3501	0157
平水溪		3502	0157
平石县	(平石縣)	3503	0157
平旦驿	(平旦驛)	3504	0157
平旦镇	(平旦鎮)	3505	0158
平丘邑		3506	0158
平乐市	(平樂市)	3507	0158
平乐园	(平樂園)	3508	0158
平乐观	(平樂觀)	3509	0158
平乐县	(平樂縣)	3510	0158
平乐府	(平樂府)	3511	0158
平乐郡	(平樂郡)	3512	0158
平乐道	(平樂道)	3513	0158
平乐镇	(平樂鎮)	3514	0158
平乐馆	(平樂館)	3515	0158
平头寨	(平頭寨)	3516	0158
平民县	(平民縣)	3517	0158
平西县	(平西縣)	3518	0158
平夷卫	(平夷衛)	3519	0158
平夷军	(平夷軍)	3520	0158
平夷县	(平夷縣)	3521	0158
平夷城		3522	0158
平夷郡		3523	0158
平戎军	(平戎軍)	3524	0158
平戎驿	(平戎驛)	3525	0158
平戎城		3526	0158
平曲城		3527	0158
平齐郡	(平齊郡)	3528	0158
平州县	(平州縣)	3529	0159
平州邑		3530	0159
平江州		3531	0159
平江县	(平江縣)	3532	0159
平江府		3533	0159
平江路		3534	0159
平江铺	(平江鋪)	3535	0159
平兴县	(平興縣)	3536	0159
平兴郡	(平興郡)	3537	0159
平安县	(平安縣)	3538	0159
平安城		3539	0159
平安站		3540	0159
平安寨		3541	0159
平阳戍	(平陽戍)	3542	0159
平阳州	(平陽州)	3543	0159
平阳关	(平陽關)	3544	0159
平阳县	(平陽縣)	3545	0159
平阳邑	(平陽邑)	3546	0160
平阳府	(平陽府)	3547	0160
平阳郡	(平陽郡)	3548	0160
平阳路	(平陽路)	3549	0160
平阴县	(平陰縣)	3550	0160
平阴邑	(平陰邑)	3551	0160
平阴津	(平陰津)	3552	0160
平寿县	(平壽縣)	3553	0160
平坝卫	(平壩衛)	3554	0160
平远州	(平遠州)	3555	0160
平远县	(平遠縣)	3556	0160
平远府	(平遠府)	3557	0160
平邑县	(平邑縣)	3558	0160
平邑寨		3559	0160
平利县	(平利縣)	3560	0160
平甸县	(平甸縣)	3561	0160
平狄军	(平狄軍)	3562	0160
平谷县	(平谷縣)	3563	0160
平陇戍	(平隴戍)	3564	0161
平陆县	(平陸縣)	3565	0161
平陆邑	(平陸邑)	3566	0161
平陆城	(平陸城)	3567	0161
平阿县	(平阿縣)	3568	0161
平武县	(平武縣)	3569	0161
平武郡		3570	0161
平林县	(平林縣)	3571	0161
平林邑		3572	0161
平昌门	(平昌門)	3573	0161
平昌县	(平昌縣)	3574	0161
平昌郡		3575	0161
平固县	(平固縣)	3576	0161
平固镇	(平固鎮)	3577	0162
平虏卫	(平虜衛)	3578	0162
平虏寨	(平虜寨)	3579	0162
平虏渠	(平虜渠)	3580	0162
平和县	(平和縣)	3581	0162
平周县	(平周縣)	3582	0162
平周邑		3583	0162
平羌县	(平羌縣)	3584	0162
平羌郡		3585	0162
平河县	(平河縣)	3586	0162
平河郡		3587	0162
平定州		3588	0162
平定关	(平定關)	3589	0162
平定军	(平定軍)	3590	0162
平定县	(平定縣)	3591	0162
平孟隘		3592	0162
平春县	(平春縣)	3593	0162
平政站		3594	0162
平城县	(平城縣)	3595	0162
平城镇	(平城鎮)	3596	0163
平南关	(平南關)	3597	0163
平南县	(平南縣)	3598	0163
平南驿	(平南驛)	3599	0163
平南郡		3600	0163
平顺县	(平順縣)	3601	0163
平泉县	(平泉縣)	3602	0163
平泉庄		3603	0163
平泉冶		3604	0163
平度州		3605	0163
平度县	(平度縣)	3606	0163
平洛县	(平洛縣)	3607	0163
平洋山		3608	0163
平洋沙		3609	0163
平洲堡		3610	0163
平秦郡		3611	0163
平都县	(平都縣)	3612	0163
平都邑		3613	0163
平都城		3614	0163
平原州		3615	0163
平原县	(平原縣)	3616	0163
平原邑		3617	0164
平原津		3618	0164
平原郡		3619	0164
平原省		3620	0164
