# 中国·国家地名信息库 行政区划代码（数据截止日期为2025年12月31日）
# https://dmfw.mca.gov.cn/XzqhVersionPublish.html
#
# name	code	level	type	children
# -	00	0		34

牛栏山镇	110113007	4		
南法信镇	110113008	4		
马坡镇	110113009	4		
石园街道	110113010	4		
空港街道	110113011	4		
双丰街道	110113012	4		
旺泉街道	110113013	4		
高丽营镇	110113101	4		
李桥镇	110113104	4		
李遂镇	110113105	4		
南彩镇	110113106	4		
北务镇	110113108	4		
大孙各庄镇	110113109	4		
张镇	110113110	4		
龙湾屯镇	110113111	4		
木林镇	110113112	4		
北小营镇	110113113	4		
北石槽镇	110113115	4		
赵全营镇	110113116	4		
昌平区	110114	3	市辖区	0
昌平区	110114000	3		
城北街道	110114001	4		
南口镇	110114002	4		
马池口镇	110114003	4		
沙河镇	110114004	4		
城南街道	110114005	4		
东小口镇	110114007	4		
天通苑北街道	110114008	4		
天通苑南街道	110114009	4		
霍营街道	110114010	4		
回龙观街道	110114011	4		
龙泽园街道	110114012	4		
史各庄街道	110114013	4		
阳坊镇	110114104	4		
小汤山镇	110114110	4		
南邵镇	110114111	4		
崔村镇	110114112	4		
百善镇	110114113	4		
北七家镇	110114115	4		
兴寿镇	110114116	4		
流村镇	110114118	4		
十三陵镇	110114119	4		
延寿镇	110114120	4		
大兴区	110115	3	市辖区	0
大兴区	110115000	3		
兴丰街道	110115001	4		
林校路街道	110115002	4		
清源街道	110115003	4		
亦庄镇	110115004	4		
黄村镇	110115005	4		
旧宫镇	110115006	4		
西红门镇	110115007	4		
瀛海镇	110115008	4		
观音寺街道	110115009	4		
天宫院街道	110115010	4		
高米店街道	110115011	4		
荣华街道	110115012	4		
博兴街道	110115013	4		
青云店镇	110115103	4		
采育镇	110115104	4		
安定镇	110115105	4		
礼贤镇	110115106	4		
榆垡镇	110115107	4		
庞各庄镇	110115108	4		
北臧村镇	110115109	4		
魏善庄镇	110115110	4		
长子营镇	110115111	4		
怀柔区	110116	3	市辖区	0
怀柔区	110116000	3		
泉河街道	110116001	4		
龙山街道	110116002	4		
怀柔镇	110116003	4		
雁栖镇	110116004	4		
庙城镇	110116005	4		
北房镇	110116102	4		
杨宋镇	110116103	4		
桥梓镇	110116105	4		
怀北镇	110116106	4		
汤河口镇	110116107	4		
渤海镇	110116108	4		
九渡河镇	110116109	4		
琉璃庙镇	110116110	4		
宝山镇	110116111	4		
长哨营满族乡	110116211	4		
喇叭沟门满族乡	110116213	4		
平谷区	110117	3	市辖区	0
平谷区	110117000	3		
滨河街道	110117001	4		
兴谷街道	110117002	4		
平谷镇	110117003	4		
峪口镇	110117004	4		
马坊镇	110117005	4		
金海湖镇	110117006	4		
东高村镇	110117101	4		
山东庄镇	110117102	4		
南独乐河镇	110117104	4		
大华山镇	110117105	4		
夏各庄镇	110117106	4		
马昌营镇	110117108	4		
王辛庄镇	110117110	4		
大兴庄镇	110117111	4		
刘家店镇	110117112	4		
镇罗营镇	110117114	4		
黄松峪乡	110117213	4		
熊儿寨乡	110117214	4		
密云区	110118	3	市辖区	0
密云区	110118000	3		
鼓楼街道	110118001	4		
果园街道	110118002	4		
檀营满族蒙古族乡	110118003	4		
密云镇	110118100	4		
溪翁庄镇	110118101	4		
西田各庄镇	110118102	4		
十里堡镇	110118103	4		
河南寨镇	110118104	4		
巨各庄镇	110118105	4		
穆家峪镇	110118106	4		
太师屯镇	110118107	4		
高岭镇	110118108	4		
不老屯镇	110118109	4		
冯家峪镇	110118110	4		
古北口镇	110118111	4		
大城子镇	110118112	4		
东邵渠镇	110118113	4		
北庄镇	110118114	4		
新城子镇	110118115	4		
石城镇	110118116	4		
延庆区	110119	3	市辖区	0
延庆区	110119000	3		
百泉街道	110119001	4		
香水园街道	110119002	4		
儒林街道	110119003	4		
延庆镇	110119100	4		
康庄镇	110119101	4		
八达岭镇	110119102	4		
永宁镇	110119103	4		
旧县镇	110119104	4		
张山营镇	110119105	4		
四海镇	110119106	4		
千家店镇	110119107	4		
沈家营镇	110119108	4		
大榆树镇	110119109	4		
井庄镇	110119110	4		
大庄科乡	110119200	4		
刘斌堡乡	110119201	4		
香营乡	110119202	4		
珍珠泉乡	110119203	4		
天津市	12	1	直辖市	16
天津市	120000000	1		
和平区	120101	3	市辖区	0
和平区	120101000	3		
劝业场街道	120101001	4		
小白楼街道	120101002	4		
五大道街道	120101003	4		
新兴街道	120101004	4		
南营门街道	120101005	4		
南市街道	120101006	4		
河东区	120102	3	市辖区	0
河东区	120102000	3		
大王庄街道	120102001	4		
大直沽街道	120102002	4		
中山门街道	120102003	4		
富民路街道	120102004	4		
二号桥街道	120102005	4		
春华街道	120102006	4		
唐家口街道	120102007	4		
向阳楼街道	120102008	4		
常州道街道	120102009	4		
上杭路街道	120102010	4		
东新街道	120102011	4		
鲁山道街道	120102012	4		
天津铁厂街道	120102013	4		
河西区	120103	3	市辖区	0
河西区	120103000	3		
大营门街道	120103001	4		
下瓦房街道	120103002	4		
桃园街道	120103003	4		
挂甲寺街道	120103004	4		
马场街道	120103005	4		
越秀路街道	120103006	4		
友谊路街道	120103007	4		
天塔街道	120103008	4		
尖山街道	120103009	4		
陈塘庄街道	120103010	4		
柳林街道	120103011	4		
东海街道	120103012	4		
梅江街道	120103013	4		
太湖路街道	120103014	4		
南开区	120104	3	市辖区	0
南开区	120104000	3		
长虹街道	120104001	4		
鼓楼街道	120104002	4		
兴南街道	120104003	4		
广开街道	120104004	4		
万兴街道	120104005	4		
学府街道	120104006	4		
向阳路街道	120104007	4		
嘉陵道街道	120104008	4		
王顶堤街道	120104009	4		
水上公园街道	120104010	4		
体育中心街道	120104011	4		
华苑街道	120104012	4		
河北区	120105	3	市辖区	0
河北区	120105000	3		
光复道街道	120105001	4		
望海楼街道	120105002	4		
鸿顺里街道	120105003	4		
新开河街道	120105004	4		
铁东路街道	120105005	4		
建昌道街道	120105006	4		
宁园街道	120105007	4		
王串场街道	120105008	4		
江都路街道	120105009	4		
月牙河街道	120105010	4		
红桥区	120106	3	市辖区	0
红桥区	120106000	3		
西于庄街道	120106001	4		
咸阳北路街道	120106003	4		
丁字沽街道	120106004	4		
西沽街道	120106005	4		
三条石街道	120106006	4		
邵公庄街道	120106008	4		
芥园街道	120106009	4		
铃铛阁街道	120106010	4		
和苑街道	120106012	4		
东丽区	120110	3	市辖区	0
东丽区	120110000	3		
张贵庄街道	120110001	4		
丰年村街道	120110002	4		
万新街道	120110003	4		
无瑕街道	120110004	4		
新立街道	120110005	4		
华明街道	120110006	4		
金钟街道	120110007	4		
军粮城街道	120110008	4		
金桥街道	120110009	4		
东丽湖街道	120110010	4		
华新街道	120110011	4		
西青区	120111	3	市辖区	0
西青区	120111000	3		
西营门街道	120111001	4		
李七庄街道	120111002	4		
赤龙南街道	120111003	4		
赤龙北街道	120111004	4		
津门湖街道	120111005	4		
中北镇	120111100	4		
杨柳青镇	120111101	4		
辛口镇	120111102	4		
张家窝镇	120111103	4		
精武镇	120111104	4		
大寺镇	120111105	4		
王稳庄镇	120111106	4		
津南区	120112	3	市辖区	0
津南区	120112000	3		
双新街道	120112001	4		
双林街道	120112002	4		
海棠街道	120112003	4		
咸水沽镇	120112100	4		
葛沽镇	120112101	4		
小站镇	120112102	4		
双港镇	120112103	4		
辛庄镇	120112104	4		
双桥河镇	120112106	4		
八里台镇	120112107	4		
北闸口镇	120112108	4		
北辰区	120113	3	市辖区	0
北辰区	120113000	3		
果园新村街道	120113001	4		
集贤里街道	120113002	4		
普东街道	120113003	4		
瑞景街道	120113004	4		
佳荣里街道	120113005	4		
青源街道	120113006	4		
广源街道	120113007	4		
双环邨街道	120113008	4		
天穆镇	120113100	4		
北仓镇	120113101	4		
双街镇	120113102	4		
双口镇	120113103	4		
青光镇	120113104	4		
宜兴埠镇	120113106	4		
小淀镇	120113107	4		
大张庄镇	120113108	4		
西堤头镇	120113111	4		
武清区	120114	3	市辖区	0
武清区	120114000	3		
杨村街道	120114001	4		
下朱庄街道	120114002	4		
东蒲洼街道	120114003	4		
黄庄街道	120114004	4		
徐官屯街道	120114005	4		
运河西街道	120114006	4		
梅厂镇	120114101	4		
大碱厂镇	120114102	4		
崔黄口镇	120114103	4		
大良镇	120114104	4		
下伍旗镇	120114105	4		
南蔡村镇	120114106	4		
大孟庄镇	120114107	4		
泗村店镇	120114108	4		
河西务镇	120114109	4		
城关镇	120114110	4		
东马圈镇	120114111	4		
黄花店镇	120114112	4		
石各庄镇	120114113	4		
王庆坨镇	120114114	4		
汊沽港镇	120114115	4		
河北屯镇	120114116	4		
上马台镇	120114117	4		
大王古庄镇	120114118	4		
陈咀镇	120114119	4		
白古屯镇	120114120	4		
曹子里镇	120114121	4		
大黄堡镇	120114122	4		
豆张庄镇	120114123	4		
高村镇	120114124	4		
宝坻区	120115	3	市辖区	0
宝坻区	120115000	3		
海滨街道	120115001	4		
宝平街道	120115002	4		
钰华街道	120115003	4		
周良街道	120115004	4		
朝霞街道	120115007	4		
潮阳街道	120115008	4		
大口屯镇	120115101	4		
王卜庄镇	120115103	4		
方家庄镇	120115104	4		
林亭口镇	120115105	4		
八门城镇	120115106	4		
大钟庄镇	120115107	4		
新安镇	120115108	4		
霍各庄镇	120115111	4		
新开口镇	120115113	4		
大唐庄镇	120115115	4		
牛道口镇	120115119	4		
史各庄镇	120115120	4		
郝各庄镇	120115121	4		
牛家牌镇	120115123	4		
尔王庄镇	120115124	4		
黄庄镇	120115125	4		
口东镇	120115126	4		
大白庄镇	120115127	4		
滨海新区	120116	3	市辖区	0
滨海新区	120116000	3		
杭州道街道	120116005	4		
新河街道	120116006	4		
大沽街道	120116007	4		
新北街道	120116008	4		
北塘街道	120116009	4		
胡家园街道	120116011	4		
泰达街道	120116012	4		
汉沽街道	120116021	4		
寨上街道	120116022	4		
古林街道	120116033	4		
海滨街道	120116034	4		
塘沽街道	120116036	4		
茶淀街道	120116037	4		
大港街道	120116038	4		
新港街道	120116039	4		
新村街道	120116040	4		
新城镇	120116100	4		
杨家泊镇	120116102	4		
太平镇	120116105	4		
小王庄镇	120116106	4		
中塘镇	120116107	4		
宁河区	120117	3	市辖区	0
宁河区	120117000	3		
芦台街道	120117001	4		
桥北街道	120117002	4		
宁河镇	120117101	4		
苗庄镇	120117102	4		
丰台镇	120117103	4		
岳龙镇	120117104	4		
板桥镇	120117105	4		
潘庄镇	120117106	4		
造甲城镇	120117107	4		
七里海镇	120117108	4		
大北涧沽镇	120117109	4		
东棘坨镇	120117110	4		
俵口镇	120117111	4		
廉庄镇	120117112	4		
北淮淀镇	120117113	4		
静海区	120118	3	市辖区	0
静海区	120118000	3		
华康街道	120118001	4		
朝阳街道	120118002	4		
静海镇	120118100	4		
唐官屯镇	120118101	4		
独流镇	120118102	4		
王口镇	120118103	4		
台头镇	120118104	4		
子牙镇	120118105	4		
陈官屯镇	120118106	4		
中旺镇	120118107	4		
大邱庄镇	120118108	4		
蔡公庄镇	120118109	4		
梁头镇	120118110	4		
团泊镇	120118111	4		
双塘镇	120118112	4		
大丰堆镇	120118113	4		
沿庄镇	120118114	4		
西翟庄镇	120118115	4		
良王庄乡	120118200	4		
杨成庄乡	120118201	4		
蓟州区	120119	3	市辖区	0
蓟州区	120119000	3		
文昌街道	120119001	4		
渔阳镇	120119100	4		
洇溜镇	120119101	4		
官庄镇	120119102	4		
马伸桥镇	120119103	4		
下营镇	120119104	4		
邦均镇	120119105	4		
别山镇	120119106	4		
尤古庄镇	120119108	4		
上仓镇	120119109	4		
下仓镇	120119111	4		
罗庄子镇	120119112	4		
白涧镇	120119113	4		
侯家营镇	120119115	4		
桑梓镇	120119116	4		
东施古镇	120119117	4		
下窝头镇	120119118	4		
杨津庄镇	120119119	4		
出头岭镇	120119120	4		
