# 兩岸差異用詞
# https://github.com/g0v/moedict-data-csld/blob/master/兩岸差異用詞.xlsx
# https://dict.concised.moe.edu.tw/appendix.jsp?ID=54
# 差異別: 1=兩岸同實異名-753; 2=兩岸同名異實-97; 3=臺灣特有-801; 4=大陸特有-3301
# 
# 臺灣詞	大陸詞	差異別

公告期	公示期	1
公車專用道	公交車專用道	1
公車專用道	公交車道	1
公車站	公交站	1
共乘	拼車	1
加護病房	重症監護病房	1
卯勁	鉚勁	1
去氧核糖核酸	脫氧核糖核酸	1
去氧核糖核酸水解酶	脫氧核糖核酸水解酶	1
反聖嬰	拉尼娜	1
反聖嬰現象	拉尼娜	1
吉貝素	赤黴素	1
唯讀記憶體	只讀存儲器	1
國宅	經適房	1
太空衣	太空服	1
太空衣	宇航服	1
太空衣	宇宙服	1
太空科學	空間科學	1
奈米材料	納米材料	1
定向天擇	定向選擇	1
強化玻璃	鋼化玻璃	1
影印本	影印件	1
心理諮商	心理諮詢	1
忙線訊號	忙音信號	1
快閃記憶體	閃存	1
感應門	防盜儀	1
應用程式	應用程序	1
批價	劃價	1
折光率	光焦度	1
披索	比索	1
抹片	塗片	1
數位電視	數字電視	1
晶片卡	智能卡	1
智慧卡	智能卡	1
最高法院	最高人民法院	1
東協自由貿易協定	東盟自由貿易協定	1
校園民歌	臺灣校園歌曲	1
核子反應器爐心壽命	堆芯壽期	1
核糖核酸酵素	核酶	1
樣本數	樣本量	1
每秒位元數	比特每秒	1
游標	光標	1
燃料裝填週期	換料週期	1
瑕疵品	殘次品	1
矽膠	硅膠	1
科克斯板塊	科科斯板塊	1
程式語言	編程語言	1
空氣汙染指標	空氣汙染指數	1
笛摩根法則	德摩根法則	1
答案卷	答卷	1
網際網路	互聯網	1
網際網路	因特網	1
網際網路電話	網絡電話	1
網路版	網絡版	1
網路教育	網絡教育	1
網路選美	網絡選美	1
網路語言	網絡語言	1
網路蟑螂	玉米蟲	1
纜線數據機	線纜調制解調器	1
聯結車	拖掛車	1
膠膜	塑封	1
自由業	自由職業	1
虛擬實境	虛擬現實	1
螢光	熒光	1
螢光劑	熒光劑	1
螺旋菌	螺菌	1
行車執照	行駛證	1
視訊會議	電視電話會議	1
觸控式螢幕	觸摸屏	1
調撥車道	可變車道	1
資訊服務網	信息服務網	1
賓士	大奔	1
超大型積體電路	超大規模集成電路	1
輻合思考	聚合思維	1
遊客資訊中心	遊客信息中心	1
部落格	博客	1
郵遞區號	郵政編碼	1
錄影帶	錄像帶	1
閘道	網間連接器	1
隨身碟	閃存盤	1
雷射唱片	激光唱片	1
雷射印表機	激光打印機	1
電鍋	電飯鍋	1
電泳晶片	電泳芯片	1
頂客家庭	丁克家庭	1
風浪板	帆板	1
高階語言	高級語言	1
鼻胃管	鼻飼管	1
龐克	朋克	1
不斷電系統	不間斷電源	1
仲介費	中介費	1
位元每秒	每秒傳送位數	1
倒數計時	倒計時	1
傳輸控制協定	傳輸控制協議	1
元素態物質	單質	1
光碟機	光驅	1
克漏字	完型填空	1
公共危險罪	危害公共安全罪	1
共用軟體	共享軟件	1
分離式	分體式	1
列表機	打印機	1
加護病房	特護病房	1
原子序	原子序數	1
去光水	洗甲水	1
反聖嬰	拉尼娜現象	1
反聖嬰現象	拉尼娜現象	1
單元劇	單本劇	1
喻依	喻體	1
噴射機	噴氣式飛機	1
嚴重急性呼吸道症候群	薩斯	1
嚴重急性呼吸道症候群	非典型肺炎	1
國宅	經濟適用房	1
國際換日線	日界線	1
地震強度	烈度	1
基因剔除	基因敲除	1
堆高機	鏟車	1
報到櫃檯	值機島	1
大火鍋	大蓋帽	1
安親班	托班	1
寬頻	寬帶	1
小筆電	上網本	1
尖峰時間	交通高峰	1
工寮	工棚	1
引子酶	引發酶	1
影音	音像	1
房屋所有權狀	房本	1
打檔	掛擋	1
捐血	無償獻血	1
數位照相機	數碼相機	1
數位傳輸	數字通信	1
數位相機	數碼相機	1
智慧財產權	知識產權	1
月臺門	屏蔽門	1
朋馳	大奔	1
東北季風	東北季候風	1
校園網路	校園網絡	1
構形	構型	1
歧音異義字	破讀字	1
每秒千位元數	每秒千字節	1
深喉嚨	深喉	1
火星塞	火花塞	1
瓦斯桶	煤氣罐	1
生活品質	生活質量	1
登機門	登機口	1
直立式	立式	1
磁碟作業系統	磁盤操作系統	1
移動硬碟	移動硬盤	1
程式員	程序員	1
空大	電大	1
空中大學	電大	1
箱網	網箱	1
網路化	網絡化	1
網路攝影機	網絡攝影機	1
聖女現象	反厄爾尼諾現象	1
聖女現象	拉尼娜	1
航太	航天	1
芮氏地震規模	里氏	1
莫耳質量	摩爾質量	1
薪水階級	工薪階層	1
虎克定律	胡克定律	1
螢光增白劑	熒光增白劑	1
行人徒步區	步行街	1
行動設備作業系統	移動操作系統	1
行動電源	充電寶	1
記憶體	存儲器	1
負成長	負增長	1
資訊理論	信息理論	1
資料探勘	數據採掘	1
超領	超支	1
超極致筆電	超極本	1
軍教片	軍旅劇	1
軟體	軟件	1
輔助記憶體	輔助存儲器	1
酒測器	吹波機	1
阿斯匹靈	阿司匹林	1
阿司匹靈	阿司匹林	1
電漿電視	等離子電視	1
電子錢包	電子貨幣	1
電腦程式	計算機程序	1
電解槽	電解池	1
震度	地震烈度	1
露營休閒車	房車	1
鷹架	腳手架	1
世界大學運動會	大運會	1
二氧化碳雷射	二氧化碳激光	1
