# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

不見得	1996	ㄅㄨˊ ㄐㄧㄢˋ ˙ㄉㄜ	bú jiàn de	進階	第4*級	核心詞	33	30
不幸	1997	ㄅㄨˊ ㄒㄧㄥˋ	bú xìng	進階	第4*級	安全	75	30
布	1998	ㄅㄨˋ	bù	進階	第4*級	日常起居	39	52
不安	1999	ㄅㄨˋ ㄢ	bù ān	進階	第4*級	核心詞	94	22
部門	2000	ㄅㄨˋ ㄇㄣˊ	bù mén	進階	第4*級	職業	78	22
不免	2001	ㄅㄨˋ ㄇㄧㄢˇ	bù miǎn	進階	第4*級	核心詞	30	5
不足	2002	ㄅㄨˋ ㄗㄨˊ	bù zú	進階	第4*級	核心詞	76	51
採	2003	ㄘㄞˇ	cǎi	進階	第4*級	核心詞	36	130
採用	2004	ㄘㄞˇ ㄩㄥˋ	cǎi yòng	進階	第4*級	核心詞	72	30
餐點	2005	ㄘㄢ ㄉㄧㄢˇ	cān diǎn	進階	第4*級	餐飲、烹飪	6	8
參考	2006	ㄘㄢ ㄎㄠˇ	cān kǎo	進階	第4*級	核心詞	57	34
藏	2007	ㄘㄤˊ	cáng	進階	第4*級	核心詞	70	74
操場	2008	ㄘㄠ ㄔㄤˇ	cāo chǎng	進階	第4*級	教育、學習	7	12
草地	2009	ㄘㄠˇ ㄉㄧˋ	cǎo dì	進階	第4*級	日常起居	21	10
測驗	2010	ㄘㄜˋ ㄧㄢˋ	cè yàn	進階	第4*級	教育、學習	54	11
差別	2011	ㄔㄚ ㄅㄧㄝˊ	chā bié	進階	第4*級	核心詞	42	43
差異	2012	ㄔㄚ ㄧˋ	chā yì	進階	第4*級	核心詞	87	35
產生	2013	ㄔㄢˇ ㄕㄥ	chǎn shēng	進階	第4*級	核心詞	313	284
長短	2014	ㄔㄤˊ ㄉㄨㄢˇ	cháng duǎn	進階	第4*級	核心詞	9	4
嘗試	2015	ㄔㄤˊ ㄕˋ	cháng shì	進階	第4*級	核心詞	79	60
常識	2016	ㄔㄤˊ ㄕˋ	cháng shì	進階	第4*級	教育、學習	16	7
稱為	2017	ㄔㄥ ㄨㄟˊ	chēng wéi	進階	第4*級	核心詞	125	81
成	2018	ㄔㄥˊ	chéng	進階	第4*級	核心詞	287	219
成果	2019	ㄔㄥˊ ㄍㄨㄛˇ	chéng guǒ	進階	第4*級	教育、學習	60	52
成就	2020	ㄔㄥˊ ㄐㄧㄡˋ	chéng jiù	進階	第4*級	教育、學習	103	49
乘客	2021	ㄔㄥˊ ㄎㄜˋ	chéng kè	進階	第4*級	交通、旅遊	18	14
成立	2022	ㄔㄥˊ ㄌㄧˋ	chéng lì	進階	第4*級	教育、學習	104	132
成年	2023	ㄔㄥˊ ㄋㄧㄢˊ	chéng nián	進階	第4*級	個人資料	24	13
成人	2024	ㄔㄥˊ ㄖㄣˊ	chéng rén	進階	第4*級	身體、醫療	70	11
承認	2025	ㄔㄥˊ ㄖㄣˋ	chéng rèn	進階	第4*級	核心詞	102	21
持續	2026	ㄔˊ ㄒㄩˋ	chí xù	進階	第4*級	核心詞	127	150
尺	2027	ㄔˇ	chǐ	進階	第4*級	購物、商店	31	14
衝1	2028	ㄔㄨㄥ	chōng	進階	第4*級	核心詞	32	19
充滿	2029	ㄔㄨㄥ ㄇㄢˇ	chōng mǎn	進階	第4*級	情緒、態度	176	111
衝突	2030	ㄔㄨㄥ ㄊㄨˊ	chōng tú	進階	第4*級	核心詞	95	109
重2	2031	ㄔㄨㄥˊ	chóng	進階	第4*級	核心詞	115	151
出版	2032	ㄔㄨ ㄅㄢˇ	chū bǎn	進階	第4*級	教育、學習	153	27
出產	2033	ㄔㄨ ㄔㄢˇ	chū chǎn	進階	第4*級	餐飲、烹飪	4	7
初一	2034	ㄔㄨ ㄧ	chū yī	進階	第4*級	文化	5	3
出院	2035	ㄔㄨ ㄩㄢˋ	chū yuàn	進階	第4*級	身體、醫療	8	5
初中	2036	ㄔㄨ ㄓㄨㄥ	chū zhōng	進階	第4*級	個人資料	6	7
除非	2037	ㄔㄨˊ ㄈㄟ	chú fēi	進階	第4*級	核心詞	65	17
處理	2038	ㄔㄨˇ ㄌㄧˇ	chǔ lǐ	進階	第4*級	核心詞	241	199
處1	2039	ㄔㄨˋ	chù	進階	第4*級	核心詞	288	106
傳來	2040	ㄔㄨㄢˊ ㄌㄞˊ	chuán lái	進階	第4*級	核心詞	58	12
傳說	2041	ㄔㄨㄢˊ ㄕㄨㄛ	chuán shuō	進階	第4*級	文化	70	34
傳真	2042	ㄔㄨㄢˊ ㄓㄣ	chuán zhēn	進階	第4*級	職業	5	2
窗口	2043	ㄔㄨㄤ ㄎㄡˇ	chuāng kǒu	進階	第4*級	公共服務	15	2
創新	2044	ㄔㄨㄤˋ ㄒㄧㄣ	chuàng xīn	進階	第4*級	職業	132	13
創意	2045	ㄔㄨㄤˋ ㄧˋ	chuàng yì	進階	第4*級	職業	89	105
創造	2046	ㄔㄨㄤˋ ㄗㄠˋ	chuàng zào	進階	第4*級	核心詞	136	61
春聯	2047	ㄔㄨㄣ ㄌㄧㄢˊ	chūn lián	進階	第4*級	文化	1	8
此	2048	ㄘˇ	cǐ	進階	第4*級	核心詞	899	130
刺激	2049	ㄘˋ ㄐㄧ	cì jī	進階	第4*級	核心詞	107	50
蔥	2050	ㄘㄨㄥ	cōng	進階	第4*級		6	6
從此	2051	ㄘㄨㄥˊ ㄘˇ	cóng cǐ	進階	第4*級	核心詞	101	43
從事	2052	ㄘㄨㄥˊ ㄕˋ	cóng shì	進階	第4*級	職業	85	84
存檔	2053	ㄘㄨㄣˊ ㄉㄤˇ	cún dǎng	進階	第4*級	科技	2	1
達到	2054	ㄉㄚˊ ㄉㄠˋ	dá dào	進階	第4*級	交通、旅遊	136	138
打扮	2055	ㄉㄚˇ ㄅㄢˋ	dǎ bàn	進階	第4*級	日常起居	21	9
打包	2056	ㄉㄚˇ ㄅㄠ	dǎ bāo	進階	第4*級	核心詞	6	10
打架	2057	ㄉㄚˇ ㄐㄧㄚˋ	dǎ jià	進階	第4*級	核心詞	17	10
打噴嚏	2058	ㄉㄚˇ ㄆㄣ ㄊㄧˋ	dǎ pēn tì	進階	第4*級	身體、醫療	3	3
打聽	2059	ㄉㄚˇ ㄊㄧㄥ	dǎ tīng	進階	第4*級	核心詞	19	4
打字	2060	ㄉㄚˇ ㄗˋ	dǎ zì	進階	第4*級	核心詞	11	5
大方	2061	ㄉㄚˋ ㄈㄤ	dà fāng	進階	第4*級	社交、人際	14	9
大量	2062	ㄉㄚˋ ㄌㄧㄤˋ	dà liàng	進階	第4*級	職業	101	151
大名	2063	ㄉㄚˋ ㄇㄧㄥˊ	dà míng	進階	第4*級	社交、人際	20	1
大約	2064	ㄉㄚˋ ㄩㄝ	dà yuē	進階	第4*級	核心詞	116	139
待會/待會兒	2065	ㄉㄞˋ ㄏㄨㄟˇ/ㄉㄞˋ ㄏㄨㄟˇㄦ	dài huǐr/dài huǐ	進階	第4*級	核心詞	6	7
代名詞	2066	ㄉㄞˋ ㄇㄧㄥˊ ㄘˊ	dài míng cí	進階	第4*級	教育、學習	5	3
單純	2067	ㄉㄢ ㄔㄨㄣˊ	dān chún	進階	第4*級	核心詞	55	52
當初	2068	ㄉㄤ ㄔㄨ	dāng chū	進階	第4*級	核心詞	54	138
當地	2069	ㄉㄤ ㄉㄧˋ	dāng dì	進階	第4*級	交通、旅遊	86	255
當年	2070	ㄉㄤ ㄋㄧㄢˊ	dāng nián	進階	第4*級	核心詞	102	74
當天	2071	ㄉㄤˋ ㄊㄧㄢ	dàng tiān	進階	第4*級	核心詞	48	32
到達	2072	ㄉㄠˋ ㄉㄚˊ	dào dá	進階	第4*級	交通、旅遊	61	43
道德	2073	ㄉㄠˋ ㄉㄜˊ	dào dé	進階	第4*級	教育、學習	74	15
到底	2074	ㄉㄠˋ ㄉㄧˇ	dào dǐ	進階	第4*級	核心詞	156	415
道理	2075	ㄉㄠˋ ㄌㄧˇ	dào lǐ	進階	第4*級	核心詞	100	76
道路	2076	ㄉㄠˋ ㄌㄨˋ	dào lù	進階	第4*級	交通、旅遊	52	69
倒是	2077	ㄉㄠˋ ㄕˋ	dào shì	進階	第4*級	核心詞	53	25
等待	2078	ㄉㄥˇ ㄉㄞˋ	děng dài	進階	第4*級	核心詞	80	48
的確	2079	ㄉㄧˊ ㄑㄩㄝˋ	dí què	進階	第4*級	核心詞	133	74
地板	2080	ㄉㄧˋ ㄅㄢˇ	dì bǎn	進階	第4*級	日常起居	48	19
地理	2081	ㄉㄧˋ ㄌㄧˇ	dì lǐ	進階	第4*級	教育、學習	27	48
弟妹	2082	ㄉㄧˋ ㄇㄟˋ	dì mèi	進階	第4*級	核心詞	6	2
地下室	2083	ㄉㄧˋ ㄒㄧㄚˋ ㄕˋ	dì xià shì	進階	第4*級	日常起居	13	5
點頭	2084	ㄉㄧㄢˇ ㄊㄡˊ	diǎn tóu	進階	第4*級	核心詞	55	4
典型	2085	ㄉㄧㄢˇ ㄒㄧㄥˊ	diǎn xíng	進階	第4*級	核心詞	52	22
電器	2086	ㄉㄧㄢˋ ㄑㄧˋ	diàn qì	進階	第4*級	日常起居	16	15
電視劇	2087	ㄉㄧㄢˋ ㄕˋ ㄐㄩˋ	diàn shì jù	進階	第4*級	休閒、娛樂	6	2
電視台/電視臺	2088	ㄉㄧㄢˋ ㄕˋ ㄊㄞˊ	diàn shì tái	進階	第4*級	休閒、娛樂	13	28
調查	2089	ㄉㄧㄠˋ ㄔㄚˊ	diào chá	進階	第4*級	教育、學習	99	164
釣魚	2090	ㄉㄧㄠˋ ㄩˊ	diào yú	進階	第4*級	休閒、娛樂	13	7
訂購	2091	ㄉㄧㄥˋ ㄍㄡˋ	dìng gòu	進階	第4*級	購物、商店	6	5
訂婚	2092	ㄉㄧㄥˋ ㄏㄨㄣ	dìng hūn	進階	第4*級	社交、人際	9	3
毒	2093	ㄉㄨˊ	dú	進階	第4*級	安全	41	79
讀者	2094	ㄉㄨˊ ㄓㄜˇ	dú zhě	進階	第4*級	教育、學習	145	23
度過/渡過	2095	ㄉㄨˋ ㄍㄨㄛˋ	dù guò	進階	第4*級	交通、旅遊	49	42
度假	2096	ㄉㄨˋ ㄐㄧㄚˋ	dù jià	進階	第4*級	交通、旅遊	18	11
端	2097	ㄉㄨㄢ	duān	進階	第4*級	核心詞	61	42
對待	2098	ㄉㄨㄟˋ ㄉㄞˋ	duì dài	進階	第4*級	核心詞	49	37
對手	2099	ㄉㄨㄟˋ ㄕㄡˇ	duì shǒu	進階	第4*級	休閒、娛樂	55	11
發表	2100	ㄈㄚ ㄅㄧㄠˇ	fā biǎo	進階	第4*級	教育、學習	92	39
發財	2101	ㄈㄚ ㄘㄞˊ	fā cái	進階	第4*級	核心詞	7	5
發出	2102	ㄈㄚ ㄔㄨ	fā chū	進階	第4*級	日常起居	115	30
發炎	2103	ㄈㄚ ㄧㄢˊ	fā yán	進階	第4*級	身體、醫療	18	19
髮型	2104	ㄈㄚˇ ㄒㄧㄥˊ	fǎ xíng	進階	第4*級	日常起居	8	3
反	2105	ㄈㄢˇ	fǎn	進階	第4*級	社會	107	94
反正	2106	ㄈㄢˇ ㄓㄥˋ	fǎn zhèng	進階	第4*級	核心詞	51	81
犯	2107	ㄈㄢˋ	fàn	進階	第4*級	安全	58	20
範圍	2108	ㄈㄢˋ ㄨㄟˊ	fàn wéi	進階	第4*級	教育、學習	83	90
犯罪	2109	ㄈㄢˋ ㄗㄨㄟˋ	fàn zuì	進階	第4*級	安全	47	14
方式	2110	ㄈㄤ ㄕˋ	fāng shì	進階	第4*級	教育、學習	495	470
方形	2111	ㄈㄤ ㄒㄧㄥˊ	fāng xíng	進階	第4*級	核心詞	4	2
放鬆	2112	ㄈㄤˋ ㄙㄨㄥ	fàng sōng	進階	第4*級	核心詞	56	34
放學	2113	ㄈㄤˋ ㄒㄩㄝˊ	fàng xué	進階	第4*級	教育、學習	13	29
肥胖	2114	ㄈㄟˊ ㄆㄤˋ	féi pàng	進階	第4*級	身體、醫療	12	27
費	2115	ㄈㄟˋ	fèi	進階	第4*級	核心詞	23	12
分別	2116	ㄈㄣ ㄅㄧㄝˊ	fēn bié	進階	第4*級	核心詞	79	44
分手	2117	ㄈㄣ ㄕㄡˇ	fēn shǒu	進階	第4*級	社交、人際	19	1
粉	2118	ㄈㄣˇ	fěn	進階	第4*級	餐飲、烹飪	11	53
粉紅	2119	ㄈㄣˇ ㄏㄨㄥˊ	fěn hóng	進階	第4*級	核心詞	9	3
瘋	2120	ㄈㄥ	fēng	進階	第4*級	核心詞	29	7
否則	2121	ㄈㄡˇ ㄗㄜˊ	fǒu zé	進階	第4*級	核心詞	102	32
夫婦	2122	ㄈㄨ ㄈㄨˋ	fū fù	進階	第4*級	個人資料	58	22
幅	2123	ㄈㄨˊ	fú	進階	第4*級	核心詞	57	39
服裝	2124	ㄈㄨˊ ㄓㄨㄤ	fú zhuāng	進階	第4*級	購物、商店	26	16
付出	2125	ㄈㄨˋ ㄔㄨ	fù chū	進階	第4*級	核心詞	54	121
負責	2126	ㄈㄨˋ ㄗㄜˊ	fù zé	進階	第4*級	職業	143	95
改善	2127	ㄍㄞˇ ㄕㄢˋ	gǎi shàn	進階	第4*級	日常起居	104	105
趕	2128	ㄍㄢˇ	gǎn	進階	第4*級	核心詞	31	23
趕緊	2129	ㄍㄢˇ ㄐㄧㄣˇ	gǎn jǐn	進階	第4*級	核心詞	46	31
高大	2130	ㄍㄠ ㄉㄚˋ	gāo dà	進階	第4*級	核心詞	24	6
高速	2131	ㄍㄠ ㄙㄨˋ	gāo sù	進階	第4*級	交通、旅遊	22	25
歌唱	2132	ㄍㄜ ㄔㄤˋ	gē chàng	進階	第4*級	休閒、娛樂	14	10
歌詞	2133	ㄍㄜ ㄘˊ	gē cí	進階	第4*級	核心詞	11	17
隔壁	2134	ㄍㄜˊ ㄅㄧˋ	gé bì	進階	第4*級	日常起居	24	23
格子	2135	ㄍㄜˊ ˙ㄗ	gé zi	進階	第4*級	日常起居	6	2
個子	2136	ㄍㄜˋ ˙ㄗ	gè zi	進階	第4*級	身體、醫療	22	5
各自	2137	ㄍㄜˋ ㄗˋ	gè zì	進階	第4*級	核心詞	56	25
根本	2138	ㄍㄣ ㄅㄣˇ	gēn běn	進階	第4*級	核心詞	262	167
根據/據	2139	ㄍㄣ ㄐㄩˋ/ㄐㄩˋ	gēn jù/jù	進階	第4*級	核心詞	260	230
工程師	2140	ㄍㄨㄥ ㄔㄥˊ ㄕ	gōng chéng shī	進階	第4*級	職業	32	16
功夫	2141	ㄍㄨㄥ ㄈㄨ	gōng fū	進階	第4*級	文化	33	16
公開	2142	ㄍㄨㄥ ㄎㄞ	gōng kāi	進階	第4*級	教育、學習	67	27
購物	2143	ㄍㄡˋ ㄨˋ	gòu wù	進階	第4*級	購物、商店	21	17
古代	2144	ㄍㄨˇ ㄉㄞˋ	gǔ dài	進階	第4*級	教育、學習	45	35
固定	2145	ㄍㄨˋ ㄉㄧㄥˋ	gù dìng	進階	第4*級	核心詞	58	75
故鄉	2146	ㄍㄨˋ ㄒㄧㄤ	gù xiāng	進階	第4*級	個人資料	26	32
颳	2147	ㄍㄨㄚ	guā	進階	第4*級	核心詞	6	2
掛號	2148	ㄍㄨㄚˋ ㄏㄠˋ	guà hào	進階	第4*級	身體、醫療	2	2
怪不得	2149	ㄍㄨㄞˋ ㄅㄨˋ ˙ㄉㄜ	guài bù de	進階	第4*級	核心詞	4	4
關於	2150	ㄍㄨㄢ ㄩˊ	guān yú	進階	第4*級	核心詞	162	40
官員	2151	ㄍㄨㄢ ㄩㄢˊ	guān yuán	進階	第4*級	社會	112	27
管理	2152	ㄍㄨㄢˇ ㄌㄧˇ	guǎn lǐ	進階	第4*級	職業	235	115
光線	2153	ㄍㄨㄤ ㄒㄧㄢˋ	guāng xiàn	進階	第4*級	日常起居	33	21
規模	2154	ㄍㄨㄟ ㄇㄛˊ	guī mó	進階	第4*級	職業	58	78
鬼	2155	ㄍㄨㄟˇ	guǐ	進階	第4*級	文化	71	18
國語	2156	ㄍㄨㄛˊ ㄩˇ	guó yǔ	進階	第4*級	教育、學習	11	18
果然	2157	ㄍㄨㄛˇ ㄖㄢˊ	guǒ rán	進階	第4*級	核心詞	77	23
過分/過份	2158	ㄍㄨㄛˋ ㄈㄣˋ	guò fèn	進階	第4*級	核心詞	33	11
過敏	2159	ㄍㄨㄛˋ ㄇㄧㄣˇ	guò mǐn	進階	第4*級	身體、醫療	15	41
過夜	2160	ㄍㄨㄛˋ ㄧㄝˋ	guò yè	進階	第4*級	核心詞	13	1
哈欠	2161	ㄏㄚ ㄑㄧㄢˋ	hā qiàn	進階	第4*級	身體、醫療	4	3
海報	2162	ㄏㄞˇ ㄅㄠˋ	hǎi bào	進階	第4*級	購物、商店	9	9
海灘	2163	ㄏㄞˇ ㄊㄢ	hǎi tān	進階	第4*級	休閒、娛樂	13	11
汗水	2164	ㄏㄢˋ ㄕㄨㄟˇ	hàn shuǐ	進階	第4*級	身體、醫療	10	11
好運	2165	ㄏㄠˇ ㄩㄣˋ	hǎo yùn	進階	第4*級	核心詞	10	3
好動	2166	ㄏㄠˋ ㄉㄨㄥˋ	hào dòng	進階	第4*級	個人資料	6	5
好學	2167	ㄏㄠˋ ㄒㄩㄝˊ	hào xué	進階	第4*級	教育、學習	5	2
喝醉	2168	ㄏㄜ ㄗㄨㄟˋ	hē zuì	進階	第4*級	身體、醫療	8	1
合理	2169	ㄏㄜˊ ㄌㄧˇ	hé lǐ	進階	第4*級	核心詞	62	17
合約	2170	ㄏㄜˊ ㄩㄝ	hé yuē	進階	第4*級	日常起居	17	6
黑暗	2171	ㄏㄟ ㄢˋ	hēi àn	進階	第4*級	自然環境	60	22
恨	2172	ㄏㄣˋ	hèn	進階	第4*級	核心詞	56	14
後果	2173	ㄏㄡˋ ㄍㄨㄛˇ	hòu guǒ	進階	第4*級	核心詞	51	23
忽略	2174	ㄏㄨ ㄌㄩㄝˋ	hū lüè	進階	第4*級	核心詞	55	22
湖	2175	ㄏㄨˊ	hú	進階	第4*級	交通、旅遊	40	33
鬍子/鬍	2176	ㄏㄨˊ ˙ㄗ/ㄏㄨˊ	hú zi/hú	進階	第4*級	身體、醫療	30	5
互動	2177	ㄏㄨˋ ㄉㄨㄥˋ	hù dòng	進階	第4*級	核心詞	85	102
戶外	2178	ㄏㄨˋ ㄨㄞˋ	hù wài	進階	第4*級	休閒、娛樂	18	32
花費	2179	ㄏㄨㄚ ㄈㄟˋ	huā fèi	進階	第4*級	核心詞	22	18
花生	2180	ㄏㄨㄚ ㄕㄥ	huā shēng	進階	第4*級	餐飲、烹飪	9	21
畫面	2181	ㄏㄨㄚˋ ㄇㄧㄢˋ	huà miàn	進階	第4*級	休閒、娛樂	41	83
懷疑	2182	ㄏㄨㄞˊ ㄧˊ	huái yí	進階	第4*級	核心詞	122	36
回頭	2183	ㄏㄨㄟˊ ㄊㄡˊ	huí tóu	進階	第4*級	核心詞	58	22
回想	2184	ㄏㄨㄟˊ ㄒㄧㄤˇ	huí xiǎng	進階	第4*級	核心詞	33	16
婚姻	2185	ㄏㄨㄣ ㄧㄣ	hūn yīn	進階	第4*級	個人資料	104	33
活力	2186	ㄏㄨㄛˊ ㄌㄧˋ	huó lì	進階	第4*級	個人資料	47	21
貨	2187	ㄏㄨㄛˋ	huò	進階	第4*級	購物、商店	25	23
基礎	2188	ㄐㄧ ㄔㄨˇ	jī chǔ	進階	第4*級	職業	139	66
積極	2189	ㄐㄧ ㄐㄧˊ	jī jí	進階	第4*級	個人資料	91	84
及格	2190	ㄐㄧˊ ㄍㄜˊ	jí gé	進階	第4*級	教育、學習	7	6
急忙	2191	ㄐㄧˊ ㄇㄤˊ	jí máng	進階	第4*級	核心詞	40	1
即使	2192	ㄐㄧˊ ㄕˇ	jí shǐ	進階	第4*級	核心詞	265	101
吉他	2193	ㄐㄧˊ ㄊㄚ	jí tā	進階	第4*級	休閒、娛樂	10	2
急診	2194	ㄐㄧˊ ㄓㄣˇ	jí zhěn	進階	第4*級	身體、醫療	4	8
集中	2195	ㄐㄧˊ ㄓㄨㄥ	jí zhōng	進階	第4*級	核心詞	67	43
技巧	2196	ㄐㄧˋ ㄑㄧㄠˇ	jì qiǎo	進階	第4*級	教育、學習	84	26
既然	2197	ㄐㄧˋ ㄖㄢˊ	jì rán	進階	第4*級	核心詞	107	81
記憶	2198	ㄐㄧˋ ㄧˋ	jì yì	進階	第4*級	文化	169	93
家電	2199	ㄐㄧㄚ ㄉㄧㄢˋ	jiā diàn	進階	第4*級	日常起居	8	5
家教	2200	ㄐㄧㄚ ㄐㄧㄠˋ	jiā jiào	進階	第4*級	職業	9	6
加強	2201	ㄐㄧㄚ ㄑㄧㄤˊ	jiā qiáng	進階	第4*級	核心詞	44	46
假如	2202	ㄐㄧㄚˇ ㄖㄨˊ	jiǎ rú	進階	第4*級	核心詞	123	89
假裝	2203	ㄐㄧㄚˇ ㄓㄨㄤ	jiǎ zhuāng	進階	第4*級	核心詞	36	8
嫁	2204	ㄐㄧㄚˋ	jià	進階	第4*級	個人資料	29	25
價值	2205	ㄐㄧㄚˋ ㄓˊ	jià zhí	進階	第4*級	購物、商店	190	137
煎	2206	ㄐㄧㄢ	jiān	進階	第4*級	餐飲、烹飪	13	16
尖	2207	ㄐㄧㄢ	jiān	進階	第4*級	核心詞	19	10
減肥	2208	ㄐㄧㄢˇ ㄈㄟˊ	jiǎn féi	進階	第4*級	身體、醫療	11	10
簡直	2209	ㄐㄧㄢˇ ㄓˊ	jiǎn zhí	進階	第4*級	核心詞	92	16
漸漸/漸	2210	ㄐㄧㄢˋ ㄐㄧㄢˋ/ㄐㄧㄢˋ	jiàn jiàn/jiàn	進階	第4*級	核心詞	119	57
建築	2211	ㄐㄧㄢˋ ㄓㄨˊ	jiàn zhú	進階	第4*級	日常起居	74	128
江	2212	ㄐㄧㄤ	jiāng	進階	第4*級	核心詞	65	30
將近	2213	ㄐㄧㄤ ㄐㄧㄣˋ	jiāng jìn	進階	第4*級	核心詞	33	126
降低	2214	ㄐㄧㄤˋ ㄉㄧ	jiàng dī	進階	第4*級	核心詞	64	101
膠帶	2215	ㄐㄧㄠ ㄉㄞˋ	jiāo dài	進階	第4*級	購物、商店	6	17
交流	2216	ㄐㄧㄠ ㄌㄧㄡˊ	jiāo liú	進階	第4*級	社交、人際	33	43
郊外	2217	ㄐㄧㄠ ㄨㄞˋ	jiāo wài	進階	第4*級	日常起居	7	4
腳步	2218	ㄐㄧㄠˇ ㄅㄨˋ	jiǎo bù	進階	第4*級	核心詞	48	50
叫醒	2219	ㄐㄧㄠˋ ㄒㄧㄥˇ	jiào xǐng	進階	第4*級	日常起居	7	3
接觸	2220	ㄐㄧㄝ ㄔㄨˋ	jiē chù	進階	第4*級	社交、人際	88	124
街道	2221	ㄐㄧㄝ ㄉㄠˋ	jiē dào	進階	第4*級	交通、旅遊	25	18
階段	2222	ㄐㄧㄝ ㄉㄨㄢˋ	jiē duàn	進階	第4*級	核心詞	131	87
接近	2223	ㄐㄧㄝ ㄐㄧㄣˋ	jiē jìn	進階	第4*級	核心詞	88	65
結合	2224	ㄐㄧㄝˊ ㄏㄜˊ	jié hé	進階	第4*級	核心詞	78	102
結論	2225	ㄐㄧㄝˊ ㄌㄨㄣˋ	jié lùn	進階	第4*級	教育、學習	58	13
節慶	2226	ㄐㄧㄝˊ ㄑㄧㄥˋ	jié qìng	進階	第4*級	社交、人際	5	11
斤	2227	ㄐㄧㄣ	jīn	進階	第4*級	核心詞	24	59
今後	2228	ㄐㄧㄣ ㄏㄡˋ	jīn hòu	進階	第4*級	核心詞	23	4
金錢	2229	ㄐㄧㄣ ㄑㄧㄢˊ	jīn qián	進階	第4*級	購物、商店	49	29
今日	2230	ㄐㄧㄣ ㄖˋ	jīn rì	進階	第4*級	核心詞	81	20
進一步	2231	ㄐㄧㄣˋ ㄧˊ ㄅㄨˋ	jìn yí bù	進階	第4*級	核心詞	83	49
經理	2232	ㄐㄧㄥ ㄌㄧˇ	jīng lǐ	進階	第4*級	職業	47	9
驚訝	2233	ㄐㄧㄥ ㄧㄚˋ	jīng yà	進階	第4*級	情緒、態度	76	34
景色	2234	ㄐㄧㄥˇ ㄙㄜˋ	jǐng sè	進階	第4*級	交通、旅遊	13	12
靜	2235	ㄐㄧㄥˋ	jìng	進階	第4*級	核心詞	28	25
竟然/竟	2236	ㄐㄧㄥˋ ㄖㄢˊ/ㄐㄧㄥˋ	jìng rán/jìng	進階	第4*級	核心詞	284	129
酒吧	2237	ㄐㄧㄡˇ ㄅㄚ	jiǔ bā	進階	第4*級	餐飲、烹飪	19	1
救護車	2238	ㄐㄧㄡˋ ㄏㄨˋ ㄔㄜ	jiù hù chē	進階	第4*級	身體、醫療	5	7
舅舅/舅	2239	ㄐㄧㄡˋ ˙ㄐㄧㄡ/ㄐㄧㄡˋ	jiù jiu/jiù	進階	第4*級	個人資料	20	4
舅媽	2240	ㄐㄧㄡˋ ㄇㄚ	jiù mā	進階	第4*級	個人資料	3	1
就算	2241	ㄐㄧㄡˋ ㄙㄨㄢˋ	jiù suàn	進階	第4*級	核心詞	108	88
居民	2242	ㄐㄩ ㄇㄧㄣˊ	jū mín	進階	第4*級	交通、旅遊	50	143
居然	2243	ㄐㄩ ㄖㄢˊ	jū rán	進階	第4*級	核心詞	64	43
舉例	2244	ㄐㄩˇ ㄌㄧˋ	jǔ lì	進階	第4*級	核心詞	26	10
舉手	2245	ㄐㄩˇ ㄕㄡˇ	jǔ shǒu	進階	第4*級	教育、學習	8	16
聚	2246	ㄐㄩˋ	jù	進階	第4*級	社交、人際	26	27
聚餐	2247	ㄐㄩˋ ㄘㄢ	jù cān	進階	第4*級	社交、人際	3	4
據說	2248	ㄐㄩˋ ㄕㄨㄛ	jù shuō	進階	第4*級	核心詞	67	16
具體	2249	ㄐㄩˋ ㄊㄧˇ	jù tǐ	進階	第4*級	核心詞	65	25
絕對	2250	ㄐㄩㄝˊ ㄉㄨㄟˋ	jué duì	進階	第4*級	核心詞	170	127
角色	2251	ㄐㄩㄝˊ ㄙㄜˋ/ㄐㄧㄠˇ ㄙㄜˋ	jué sè /jiǎo sè	進階	第4*級	休閒、娛樂	201	100
決心	2252	ㄐㄩㄝˊ ㄒㄧㄣ	jué xīn	進階	第4*級	核心詞	57	39
軍隊	2253	ㄐㄩㄣ ㄉㄨㄟˋ	jūn duì	進階	第4*級	社會	82	28
卡車	2254	ㄎㄚˇ ㄔㄜ	kǎ chē	進階	第4*級	交通、旅遊	23	14
開動	2255	ㄎㄞ ㄉㄨㄥˋ	kāi dòng	進階	第4*級	餐飲、烹飪	4	6
開花	2256	ㄎㄞ ㄏㄨㄚ	kāi huā	進階	第4*級	核心詞	13	29
開水	2257	ㄎㄞ ㄕㄨㄟˇ	kāi shuǐ	進階	第4*級	餐飲、烹飪	8	7
砍	2258	ㄎㄢˇ	kǎn	進階	第4*級	自然環境	33	38
看不起	2259	ㄎㄢˋ ㄅㄨˋ ㄑㄧˇ	kàn bù qǐ	進階	第4*級	核心詞	9	5
看得起	2260	ㄎㄢˋ ˙ㄉㄜ ㄑㄧˇ	kàn de qǐ	進階	第4*級	核心詞	2	1
看來	2261	ㄎㄢˋ ㄌㄞˊ	kàn lái	進階	第4*級	核心詞	88	44
科系	2262	ㄎㄜ ㄒㄧˋ	kē xì	進階	第4*級	教育、學習	7	7
