# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

沒關係	72	ㄇㄟˊ ㄍㄨㄢ ˙ㄒㄧ	méiguānxi	基礎	第1級	核心詞	27	107
妹妹/妹	73	ㄇㄟˋ ˙ㄇㄟ / ㄇㄟˋ	mèimei / mèi	基礎	第1級	核心詞	95	83
沒有	74	ㄇㄟˊ ㄧㄡˇ	méiyǒu	基礎	第1級	核心詞	2443	3355
們	75	˙ㄇㄣ	men	基礎	第1級	核心詞	560	623
名字	76	ㄇㄧㄥˊ ˙ㄗ	míng zi	基礎	第1級	核心詞	182	111
明天	77	ㄇㄧㄥˊ ㄊㄧㄢ	míngtiān	基礎	第1級	核心詞	78	131
拿	78	ㄋㄚˊ	ná	基礎	第1級	核心詞	298	343
哪1	79	ㄋㄚˇ	nǎ	基礎	第1級	核心詞	275	382
那	80	ㄋㄚˋ	nà	基礎	第1級	核心詞	2851	10547
哪裡/哪裏/哪兒	81	ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄌㄧˇ / ㄋㄚˇ ㄦ	nǎlǐ / nǎlǐ / nǎr	基礎	第1級	核心詞	221	307
那裡/那裏/那兒	82	ㄋㄚˋ ㄌㄧˇ / ㄋㄚˋ ㄦ	nàlǐ / nàr	基礎	第1級	核心詞	3314	9035
難1	83	ㄋㄢˊ	nán	基礎	第1級	核心詞	307	415
呢	84	˙ㄋㄜ	ne	基礎	第1級	核心詞	800	1792
你	85	ㄋㄧˇ	nǐ	基礎	第1級	核心詞	5891	8736
妳	86	ㄋㄧˇ	nǐ	基礎	第1級	核心詞	463	1653
年	87	ㄋㄧㄢˊ	nián	基礎	第1級	核心詞	1952	2976
你們	88	ㄋㄧˇ ˙ㄇㄣ	nǐmen	基礎	第1級	核心詞	409	1299
您	89	ㄋㄧㄣˊ	nín	基礎	第1級	核心詞	347	764
女兒	90	ㄋㄩˇ ㄦˊ	nǚér	基礎	第1級	個人資料	220	168
朋友	91	ㄆㄥˊ ㄧㄡˇ	péngyǒu	基礎	第1級	核心詞	445	464
七	92	ㄑㄧ	qī	基礎	第1級	核心詞	240	151
千	93	ㄑㄧㄢ	qiān	基礎	第1級	核心詞	70	75
前	94	ㄑㄧㄢˊ	qián	基礎	第1級	核心詞	1041	807
錢	95	ㄑㄧㄢˊ	qián	基礎	第1級	核心詞	365	489
請	96	ㄑㄧㄥˇ	qǐng	基礎	第1級	核心詞	488	447
請問	97	ㄑㄧㄥˇ ㄨㄣˋ	qǐngwèn	基礎	第1級	核心詞	24	94
去	98	ㄑㄩˋ	qù	基礎	第1級	核心詞	2059	4057
去年	99	ㄑㄩˋ ㄋㄧㄢˊ	qùnián	基礎	第1級	核心詞	36	126
熱	100	ㄖㄜˋ	rè	基礎	第1級	核心詞	87	262
人	101	ㄖㄣˊ	rén	基礎	第1級	核心詞	6185	4296
日	102	ㄖˋ	rì	基礎	第1級	核心詞	275	133
容易	103	ㄖㄨㄥˊ ㄧˋ	róngyì	基礎	第1級	核心詞	362	404
三	104	ㄙㄢ	sān	基礎	第1級	核心詞	1267	868
上	105	ㄕㄤˋ	shàng	基礎	第1級	核心詞	4977	3509
上午	106	ㄕㄤˋ ㄨˇ	shàngwǔ	基礎	第1級	核心詞	26	14
少	107	ㄕㄠˇ	shǎo	基礎	第1級	核心詞	204	340
誰	108	ㄕㄟˊ	shéi	基礎	第1級	核心詞	456	283
什麼/甚麼	109	ㄕㄣˊ ˙ㄇㄜ	shénme	基礎	第1級	核心詞	1754	2650
十	110	ㄕˊ	shí	基礎	第1級	核心詞	320	293
是	111	ㄕˋ	shì	基礎	第1級	核心詞	18291	28602
時候	112	ㄕˊ ㄏㄡˋ	shíhòu	基礎	第1級	核心詞	844	3606
