# 第一批异形词整理表
# 20011219-GF 1001-2001《第一批异形词整理表》
# http://xh.5156edu.com/page/z2137m9645j19351.html
# https://jwc.ytvc.edu.cn/info/1050/1214.htm
# 共338组异形词以及【附录】含有非规范字的异形词（共44组，序号A1-A44）
#
# 推荐词形	异形词	序号	拼音

按捺	按纳	1	ànnà
连接	联接	168	liánjiē
连绵	联绵	169	liánmián
连缀	联缀	170	liánzhuì
联结	连结	171	liánjié
联袂	连袂	172	liánmèi
联翩	连翩	173	liánpiān
踉跄	踉蹡	174	liàngqiàng
嘹亮	嘹喨	175	liáoliàng
缭乱	撩乱	176	liáoluàn
伶仃	零丁	177	língdīng
囹圄	囹圉	178	língyǔ
溜达	蹓跶	179	liūda
流连	留连	180	liúlián
喽啰	喽罗、偻㑩	181	lóuluó
鲁莽	卤莽	182	lǔmǎng
录像	录象、录相	183	lùxiàng
络腮胡子	落腮胡子	184	luòsāi-húzi
落寞	落漠、落莫	185	luòmò
麻痹	痲痹	186	mábì
麻风	痲风	187	máfēng
麻疹	痲疹	188	mázhěn
马蜂	蚂蜂	189	mǎfēng
马虎	马糊	190	mǎhu
门槛	门坎	191	ménkǎn
靡费	糜费	192	mífèi
绵连	绵联	193	miánlián
腼腆	靦䩄、覥觍	194	miǎntiǎn
模仿	摹仿	195	mófǎng
模糊	模胡	196	móhu
模拟	摹拟	197	mónǐ
摹写	模写	198	móxiě
摩擦	磨擦	199	mócā
摩拳擦掌	磨拳擦掌	200	móquán-cāzhǎng
磨难	魔难	201	mónàn
脉脉	眽眽	202	mòmò
谋划	谋画	203	móuhuà
那么	那末	204	nàme
内讧	内哄	205	nèihòng
凝练	凝炼	206	níngliàn
牛仔裤	牛崽裤	207	niúzǎikù
纽扣	钮扣	208	niǔkòu
扒手	掱手	209	páshǒu
盘根错节	蟠根错节	210	pángēn-cuòjié
盘踞	盘据、蟠踞、蟠据	211	pánjù
盘曲	蟠曲	212	pánqū
盘陀	盘陁	213	pántuó
磐石	盘石、蟠石	214	pánshí
蹒跚	盘跚	215	pánshān
彷徨	旁皇	216	pánghuáng
披星戴月	披星带月	217	pīxīng-dàiyuè
疲沓	疲塌	218	píta
漂泊	飘泊	219	piāobó
漂流	飘流	220	piāoliú
飘零	漂零	221	piāolíng
飘摇	飘飖	222	piāoyáo
凭空	平空	223	píngkōng
牵连	牵联	224	qiānlián
