# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
幕燕鼎鱼	mù yàn dǐng yú
幕竿	mù gān
幕罗	mù luó
幕职	mù zhí
幕胥	mù xū
幕表制	mù biǎo zhì
幕覆	mù fù
幕道	mù dào
幕里红丝	mù lǐ hóng sī
幖幖	biāo biāo
幛子	zhàng zi
幛蔽	zhàng bì
幛词	zhàng cí
幝幝	chǎn chǎn
幞囊	fú náng
幞头	fú tóu
幞巾	fú jīn
幞被	fú bèi
幡儿	fān ér
幡然	fān rán
幡然悔悟	fān rán huǐ wù
幡然改途	fān rán gǎi tú
幢主	chuáng zhǔ
幢容	chuáng róng
幢将	chuáng jiāng
幢幡	chuáng fān
幢幢	chuáng chuáng
幢戟	chuáng jǐ
幢旗	chuáng qí
幢校	chuáng xiào
幢棨	chuáng qǐ
幢牙	chuáng yá
幢盖	chuáng gài
幢相	chuáng xiāng
幢竿	chuáng gān
幢络	chuáng luò
幢翳	chuáng yì
幢节	chuáng jié
幢葆	chuáng bǎo
幢队	chuáng duì
幢麾	chuáng huī
幧头	qiāo tóu
幨帷	chān wéi
幨幌	chān huǎng
幨幨	chān chān
幨车	chān chē
幪巾	méng jīn
幪幪	méng méng
幰幰	xiǎn xiǎn
幰弩	xiǎn nǔ
幰网	xiǎn wǎng
幰衣	xiǎn yī
幰车	xiǎn chē
干与	gàn yǔ
干丐	gàn gài
干世	gàn shì
干九	gàn jiǔ
干乞	gàn qǐ
干了	gàn le
干事	gàn shì
干事人	gàn shì rén
干云蔽日	gān yún bì rì
干井先竭	gān jǐng xiān jié
干亲	gān qīn
干什么	gàn shén me
干仆	gàn pū
干仗	gàn zhàng
干仪	gàn yí
干休所	gàn xiū suǒ
干位	gàn wèi
干佐	gàn zuǒ
干余骨	gàn yú gǔ
干侯	gàn hóu
干俸	gàn fèng
干倔	gàn jué
干健	gàn jiàn
干傺	gàn chì
干僮	gàn tóng
干僵	gàn jiāng
干儿	gān ér
干光	gàn guāng
干兰	gàn lán
干具	gàn jù
干典	gàn diǎn
干冈	gàn gāng
干冒	gàn mào
干冬	gàn dōng
干冰	gān bīng
干冷	gān lěng
干净	gān jìng
干净利索	gàn jìng lì suǒ
干净利落	gān jìng lì luò
干凈	gàn jìng
干凈利索	gàn jìng lì suǒ
干凈利落	gàn jìng lì luò
干凈土	gàn jìng tǔ
干凈地	gàn jìng dì
干凌	gàn líng
干刘	gàn liú
干则	gàn zé
干刚	gàn gāng
干剥剥	gàn bāo bāo
干剧	gàn jù
干力	gàn lì
干办	gàn bàn
干办公事	gàn bàn gōng shì
干劲	gàn jìn
干劲冲天	gàn jìn chōng tiān
干勇	gàn yǒng
干化	gàn huà
干匿	gàn nì
干卤	gàn lǔ
干卿何事	gān qīng hé shì
干卿底事	gān qīng dǐ shì
干历	gàn lì
干叩	gàn kòu
干台	gàn tái
干号	gān háo
干吉	gàn jí
干吊	gàn diào
干名	gàn míng
干名犯义	gàn míng fàn yì
干名采誉	gān míng cǎi yù
干吏	gàn lì
干吕	gàn lǚ
干吗	gàn má
干君何事	gān jūn hé shì
干启	gàn qǐ
干吾	gàn wú
干呕	gān ǒu
干命	gàn mìng
干和	gàn hé
干咎	gàn jiù
干咳	gān hāi
干咽	gàn yàn
干哕	gān yuě
干哭	gān kū
干啤	gàn pí
干啥	gàn shá
干啼湿哭	gān tí shī kū
干嗌	gàn ài
干嗝	gàn gé
干嘉	gàn jiā
干嘉学派	gàn jiā xué pài
干噎	gàn yē
干嚎	gān háo
干固	gàn gù
干国	gàn guó
干国之器	gān guó zhī qì
干坼	gàn chè
干城	gān chéng
干城之寄	gān chéng zhī jì
干城之将	gān chéng zhī jiàng
干城章嘉峰	gān chéng zhāng jiā fēng
干基	gàn jī
干堆	gàn duī
干大	gàn dà
干女儿	gàn nǚ ér
干奴	gàn nú
干奶婆	gàn nǎi pó
干始	gàn shǐ
干姜	gān jiāng
干婚	gàn hūn
干媚	gàn mèi
干子	gàn zi
干季	gàn jì
干宇	gàn yǔ
干安	gàn ān
干安曲	gàn ān qū
干官	gàn guān
干宝	gàn bǎo
干害	gàn hài
干家	gàn jiā
干封	gàn fēng
干将	gàn jiàng
干将莫邪	gān jiāng mò yé
干尸	gān shī
干尽	gàn jǐn
干局	gàn jú
干居	gàn jū
干屎橛	gàn shǐ jué
干岗	gàn gǎng
干巛	gàn chuān
干巴	gān bā
干巴利脆	gān bā lì cuì
干巴利落	gān bā lì luò
干巴巴	gān bā bā
干干	gàn gàn
干干净净	gān gān jìng jìng
干干凈	gàn gàn jìng
干干凈凈	gàn gàn jìng jìng
干干翼翼	gàn gàn yì yì
干干脆脆	gān gān cuì cuì
干度	gàn dù
干弄	gàn nòng
干式	gàn shì
干强	gàn qiáng
干当	gàn dāng
干当人	gàn dāng rén
干役	gàn yì
干律	gàn lǜ
干德	gàn dé
干心	gàn xīn
干忤	gàn wǔ
干忽剌	gàn hū lá
干怀	gàn huái
干急	gān jí
干性油	gān xìng yóu
干恩荫	gàn ēn yīn
干惹	gàn rě
干愁	gàn chóu
干愁万斛	gān chóu wàn hú
干戈	gān gē
干戈征战	gān gē zhēng zhàn
干戈满地	gān gē mǎn dì
干戈满目	gān gē mǎn mù
干戈满眼	gān gē mǎn yǎn
干戈载戢	gān gē zài jí
干戚	gàn qī
干戾	gàn lì
干手	gàn shǒu
干手机	gàn shǒu jī
干才	gàn cái
干打哄	gàn dǎ hǒng
干打垒	gān dǎ lěi
干打雷不下雨	gān dǎ léi bù xià yǔ
干打雷，不下雨	gàn dǎ léi，bù xià yǔ
干托	gàn tuō
干扰	gān rǎo
干扰素	gān rǎo sù
干持	gàn chí
干挠	gàn náo
干挣	gàn zhēng
干捷	gàn jié
干掉	gàn diào
干掌	gàn zhǎng
干掫	gàn zhōu
干支	gān zhī
干支剌	gān zhī lá
干政	gān zhèng
干敏	gàn mǐn
干文车	gàn wén chē
干断	gàn duàn
干方	gàn fāng
干旄	gàn máo
干旌	gàn jīng
干旍	gàn jīng
干旱	gān hàn
干晖	gàn huī
干景	gàn jǐng
干晷	gàn guǐ
干暴	gàn bào
干暵	gàn hàn
干曜	gàn yào
干本	gàn běn
干材	gàn cái
干村沙	gàn cūn shā
干杯	gān bēi
干松	gān sōng
干板	gàn bǎn
干构	gàn gòu
干枉	gàn wǎng
干果	gān guǒ
干枢	gàn shū
干枯	gān kū
干架	gàn jià
干柘	gàn zhè
干柴烈火	gān chái liè huǒ
干栋	gàn dòng
干栏	gàn lán
干校	gàn xiào
干校六记	gàn xiào liù jì
干桢	gàn zhēn
干榨	gàn zhà
干槁	gàn gǎo
干橹	gàn lǔ
干止	gàn zhǐ
干正	gàn zhèng
干步	gàn bù
干没	gàn méi
干河	gàn hé
干治	gàn zhì
干法	gàn fǎ
干泽	gàn zé
干洗	gān xǐ
干活	gàn huó
干活儿	gàn huó ér
干流	gàn liú
干浅	gàn qiǎn
干济	gàn jì
干浴	gàn yù
干海	gàn hǎi
干浼	gàn měi
干涉	gān shè
干涉现象	gān shè xiàn xiàng
干涝	gàn lào
干涩	gān sè
干涸	gān hé
干渎	gàn dú
干渠	gàn qú
干渡钱	gàn dù qián
干渣渣	gàn zhā zhā
干渥	gàn wò
干渴	gān kě
干湿度地带性	gàn shī dù dì dài xìng
干湿球温度表	gàn shī qiú wēn dù biǎo
干溢	gàn yì
干溪	gàn xī
干溷	gàn hùn
干漫	gàn màn
干灵	gàn líng
干灾	gàn zāi
干点	gān diǎn
干烈	gàn liè
干烘茶	gàn hōng chá
干烦	gàn fán
干焦	gàn jiāo
干熯	gàn hàn
干燋	gàn jiāo
干燥	gān zào
干燥剂	gān zào jì
干燥器	gān zào qì
干燥无味	gān zào wú wèi
干父	gàn fù
干父之蛊	gàn fù zhī gǔ
干爹	gān diē
干爽	gān shuǎng
干片	gàn piàn
干物	gàn wù
干犯	gān fàn
干玴	gàn yì
干理	gàn lǐ
干理敏捷	gàn lǐ mǐn jié
干甚	gàn shén
干用	gàn yòng
干电池	gān diàn chí
干男	gàn nán
干略	gàn lüè
干痨	gàn láo
干瘠	gàn jí
干瘦	gān shòu
干瘪	gān biě
干白	gàn bái
干皋	gàn gāo
干直	gàn zhí
干着急	gān zháo jí
干瞪眼	gān dèng yǎn
干矢橛	gàn shǐ jué
干研墨	gàn yán mò
干硬	gān yìng
干碍	gān ài
干礼	gàn lǐ
干祫	gàn xiá
干禁	gàn jìn
干福	gàn fú
干租	gàn zū
干穹	gàn qióng
干突	gàn tū
干窃	gàn qiè
干窦	gàn dòu
干竭	gàn jié
干端坤倪	gàn duān kūn ní
干笃	gàn dǔ
干笑	gān xiào
干笔	gàn bǐ
干符	gàn fú
干符坤珍	gàn fú kūn zhēn
干策	gàn cè
干策策	gàn cè cè
干管	gàn guǎn
干粉	gān fěn
干粮	gān liáng
干精	gàn jīng
干糇	gàn hóu
干糙	gàn cāo
干系	gān xì
干糽	gàn zhěng
干索	gàn suǒ
干累	gàn lèi
干红	gàn hóng
干纪	gàn jì
干纲	gàn gāng
干纽	gàn niǔ
干线	gàn xiàn
干练	gàn liàn
干细胞	gàn xì bāo
干结	gān jié
干统	gàn tǒng
干绩	gàn jì
干维	gàn wéi
干罗	gàn luó
干罚	gàn fá
干罢	gàn bà
干群	gàn qún
干羽	gàn yǔ
干翮	gàn hé
干翼	gàn yì
干老子	gàn lǎo zi
干耗	gàn hào
干聒	gàn guā
干肉	gàn ròu
干股	gān gǔ
干肥	gàn féi
干能	gàn néng
干脆	gān cuì
干脆利索	gàn cuì lì suǒ
干脆利落	gān cuì lì luò
干脯	gàn pú
干腊	gàn là
干臣	gàn chén
干舞	gàn wǔ
干船坞	gàn chuán wù
干色	gàn sè
干花	gān huā
干茨腊	gàn cí là
干草	gān cǎo
干荒	gàn huāng
干荫	gàn yīn
干莫	gàn mò
干菜	gān cài
干萎	gàn wēi
干营	gàn yíng
干落	gàn luò
干蔗	gàn zhè
干薪	gān xīn
干蛊	gàn gǔ
干蛋	gàn dàn
干血劳	gàn xuè láo
干血痨	gàn xuè láo
干行	gàn xíng
干衡	gàn héng
干裂	gān liè
干裕	gàn yù
干覆	gàn fù
干触	gàn chù
干誉	gàn yù
干警	gàn jǐng
干讳	gàn huì
干证	gàn zhèng
干诟	gàn gòu
干说	gàn shuō
干请	gàn qǐng
干谋	gàn móu
干谒	gān yè
干豆	gàn dòu
干豆腐	gàn dòu fǔ
干象历	gàn xiàng lì
干象辇	gàn xiàng niǎn
干贝	gān bèi
干货	gān huò
干货船	gān huò chuán
干质	gàn zhì
干贶	gàn kuàng
干贽	gàn zhì
干越	gàn yuè
干路	gàn lù
干蹦蹦	gàn bèng bèng
干车	gàn chē
干轴	gàn zhóu
干辅	gàn fǔ
干辣辣	gàn là là
干达达	gàn dá dá
干运	gàn yùn
干进	gàn jìn
干连	gān lián
干造	gàn zào
干逼	gàn bī
干道	gàn dào
干道紫	gàn dào zǐ
干遖	gàn nán
干部	gàn bù
干部四化	gàn bù sì huà
干部学校	gàn bù xué xiào
干都	gàn dōu
干酒	gàn jiǔ
干酒嗜音	gān jiǔ shì yīn
干酢酒	gàn cù jiǔ
干酪	gān lào
干酵母	gān jiào mǔ
干鉴	gàn jiàn
干钧	gàn jūn
干错	gàn cuò
干闼	gàn tà
干闼婆	gàn tà pó
干阑	gàn lán
干阿你	gàn ā nǐ
干陀罗	gàn tuó luó
干陵	gàn líng
干隐	gàn yǐn
干隔涝汉子	gàn gé lào hàn zi
干雨	gàn yǔ
干雷	gàn léi
干霄凌云	gān xiāo líng yún
干霄蔽日	gàn xiāo bì rì
干霍乱	gàn huò luàn
干革	gàn gé
干音	gàn yīn
干韵	gàn yùn
干顾	gàn gù
干预	gān yù
干颡	gàn sǎng
干颤	gàn chàn
干风	gàn fēng
干食	gàn shí
干饭	gān fàn
干饰	gàn shì
干馏	gān liú
干首	gàn shǒu
干鲜	gàn xiān
干鲜水陆	gān xiān shuǐ lù
干鳖	gàn biē
干鸟	gàn niǎo
干鹄	gàn gǔ
干鹊	gàn què
干麨	gàn chǎo
干黩	gàn dú
干鼎	gàn dǐng
干龙	gàn lóng
平一	píng yī
平一公	píng yī gōng
平三套	píng sān tào
平上帻	píng shàng zé
平上輟车	píng shàng chuò chē
平下	píng xià
平世	píng shì
平业	píng yè
平两	píng liǎng
平中	píng zhōng
平乏	píng fá
平乐	píng lè
平乐苑	píng lè yuàn
平乐观	píng lè guān
平乘	píng chéng
平事	píng shì
平云	píng yún
平交	píng jiāo
平交道	píng jiāo dào
平产	píng chǎn
平亭	píng tíng
平人	píng rén
平仄	píng zè
平仓	píng cāng
平仲	píng zhòng
平价	píng jià
平价和售	píng jià hé shòu
平伏	píng fú
平伙	píng huǒ
平估	píng gū
平余	píng yú
平作	píng zuò
平侧	píng cè
平信	píng xìn
平健	píng jiàn
平允	píng yǔn
平光	píng guāng
平光光	píng guāng guāng
平入平出	píng rù píng chū
平公立	píng gōng lì
平关中	píng guān zhōng
平典	píng diǎn
平冈	píng gāng
平冕	píng miǎn
平决	píng jué
平准	píng zhǔn
平凡	píng fán
平出	píng chū
平分	píng fēn
平分秋色	píng fēn qiū sè
平刑	píng xíng
平列	píng liè
平则	píng zé
平剑	píng jiàn
平剡	píng shàn
平剧	píng jù
平动	píng dòng
平勃	píng bó
平匀	píng yún
平午	píng wǔ
平博	píng bó
平厂	píng chǎng
平历	píng lì
平原	píng yuán
平原兄弟	píng yuán xiōng dì
平原十日饮	píng yuán shí rì yǐn
平原君	píng yuán jūn
平原客	píng yuán kè
平原居士	píng yuán jū shì
平原易野	píng yuán yì yě
平原督邮	píng yuán dū yóu
平原绣	píng yuán xiù
平原绿化工程	píng yuán lǜ huà gōng chéng
平县	píng xiàn
平反	píng fǎn
平叛	píng pàn
平台	píng tái
平吉	píng jí
平吏	píng lì
平吞	píng tūn
平听	píng tīng
平和	píng hé
平善	píng shàn
平国	píng guó
平圃	píng pǔ
平圆	píng yuán
平圜	píng huán
平土	píng tǔ
平在	píng zài
平地	píng dì
平地一声雷	píng dì yī shēng léi
平地木	píng dì mù
平地楼台	píng dì lóu tái
平地波澜	píng dì bō lán
平地生波	píng dì shēng bō
平地登云	píng dì dēng yún
平地起孤丁	píng dì qǐ gū dīng
平地起家	píng dì qǐ jiā
平地起雷	píng dì qǐ léi
平地起骨堆	píng dì qǐ gǔ duī
平地青云	píng dì qīng yún
平地风波	píng dì fēng bō
平地风雷	píng dì fēng léi
平场	píng chǎng
平均	píng jūn
平均主义	píng jūn zhǔ yì
平均利润	píng jūn lì rùn
平均发展速度	píng jūn fā zhǎn sù dù
平均地权	píng jūn dì quán
平均寿命	píng jūn shòu mìng
平均工资	píng jūn gōng zī
平均数	píng jūn shù
平均期望寿命	píng jūn qī wàng shòu mìng
平均海平面	píng jūn hǎi píng miàn
平均海水面	píng jūn hǎi shuǐ miàn
平坐	píng zuò
平坡	píng pō
平坦	píng tǎn
平型关战斗	píng xíng guān zhàn dòu
平塞	píng sāi
平壤战役	píng rǎng zhàn yì
平声	píng shēng
平壹	píng yī
平处	píng chù
平复	píng fù
平复如故	píng fù rú gù
平复如旧	píng fù rú jiù
平复帖	píng fù tiē
平夜	píng yè
平天冠	píng tiān guān
平头	píng tóu
平头奴	píng tóu nú
平头奴子	píng tóu nú zi
平头小样巾	píng tóu xiǎo yàng jīn
平头数	píng tóu shù
平头正脸	píng tóu zhèng liǎn
平头百姓	píng tóu bǎi xìng
平头笋	píng tóu sǔn
平头车	píng tóu chē
平头辇	píng tóu niǎn
平夷	píng yí
平奏	píng zòu
平妥	píng tuǒ
平婉	píng wǎn
平字	píng zì
平存	píng cún
平宁	píng níng
平安	píng ān
平安信	píng ān xìn
平安喏	píng ān nuò
平安夜	píng ān yè
平安家书	píng ān jiā shū
平安无事	píng ān wú shì
平安火	píng ān huǒ
平安符	píng ān fú
平安纸	píng ān zhǐ
平安醮	píng ān jiào
平定	píng dìng
平实	píng shí
平宥	píng yòu
平宫	píng gōng
平宽	píng kuān
平富	píng fù
平封	píng fēng
平射炮	píng shè pào
平局	píng jú
平居	píng jū
平居无事	píng jū wú shì
平居有思	píng jū yǒu sī
平屋	píng wū
平展	píng zhǎn
平展展	píng zhǎn zhǎn
平岁	píng suì
平峒	píng dòng
平川	píng chuān
平川旷野	píng chuāng kuàng yě
平巷	píng hàng
平巾	píng jīn
平巾帻	píng jīn zé
平市	píng shì
平布	píng bù
平帖	píng tiē
平常	píng cháng
平干	píng gàn
平平	píng píng
平平安安	píng píng ān ān
平平常常	píng píng cháng cháng
平平庸庸	píng píng yōng yōng
平平整整	píng píng zhěng zhěng
平平泛泛	píng píng fàn fàn
平平淡淡	píng píng dàn dàn
平平稳稳	píng píng wěn wěn
平平静静	píng píng jìng jìng
平年	píng nián
平序	píng xù
平底足	píng dǐ zú
平府	píng fǔ
平度	píng dù
平康	píng kāng
平康正直	píng kāng zhèng zhí
平康里	píng kāng lǐ
平庸	píng yōng
平庸之辈	píng yōng zhī bèi
平弄	píng nòng
平弱	píng ruò
平当	píng dāng
平彻	píng chè
平心	píng xīn
平心定气	píng xīn dìng qì
平心持正	píng xīn chí zhèng
平心易气	píng xīn yì qì
平心而论	píng xīn ér lùn
平心静气	píng xīn jìng qì
平志	píng zhì
平忽	píng hū
平怿	píng yì
平恕	píng shù
平息	píng xī
平情	píng qíng
平惠	píng huì
平愈	píng yù
平愉	píng yú
平意	píng yì
平戎	píng róng
平成	píng chéng
平戢	píng jí
平房	píng fáng
平手	píng shǒu
平抑	píng yì
平拱	píng gǒng
平揖	píng yī
平搁	píng gē
平摊	píng tān
平收	píng shōu
平政	píng zhèng
平敞	píng chǎng
平整	píng zhěng
平文	píng wén
平方	píng fāng
平方公里	píng fāng gōng lǐ
平方根	píng fāng gēn
平方米	píng fāng mǐ
平施	píng shī
平日	píng rì
平旦	píng dàn
平早	píng zǎo
平时	píng shí
平时不烧香，临时抱佛脚	píng shí bù shāo xiāng，lín shí bào fó jiǎo
平时不烧香，急来抱佛脚	píng shí bù shāo xiāng，jí lái bào fó jiǎo
平旷	píng kuàng
平明	píng míng
平易	píng yì
平易易知	píng yì yì zhī
平易近人	píng yì jìn rén
平易近民	píng yì jìn mín
平易逊顺	píng yì xùn shùn
平昔	píng xī
平星	píng xīng
平春	píng chūn
平昼	píng zhòu
平晓	píng xiǎo
平曲	píng qū
平月	píng yuè
平服	píng fú
平朔	píng shuò
平望	píng wàng
平杂	píng zá
平权	píng quán
平板	píng bǎn
平板三轮儿	píng bǎn sān lún ér
平板仪	píng bǎn yí
平板电脑	píng bǎn diàn nǎo
平板计算机	píng bǎn jì suàn jī
平板车	píng bǎn chē
平林	píng lín
平林兵	píng lín bīng
平果铝矿	píng guǒ lǚ kuàng
平格	píng gé
平桓	píng huán
平桥	píng qiáo
平棊	píng qí
平楚	píng chǔ
平概	píng gài
平槽	píng cáo
平正	píng zhèng
平步	píng bù
平步公卿	píng bù gōng qīng
平步登云	píng bù dēng yún
平步登天	píng bù dēng tiān
平步青云	píng bù qīng yún
平步青霄	píng bù qīng xiāo
平殄	píng tiǎn
平毁	píng huǐ
平民	píng mín
平民习艺所	píng mín xí yì suǒ
平民文学	píng mín wén xué
平民百姓	píng mín bǎi xìng
平民窟	píng mín kū
平民院	píng mín yuàn
平气	píng qì
平水	píng shuǐ
平水年	píng shuǐ nián
平水期	píng shuǐ qī
平水韵	píng shuǐ yùn
平江起义	píng jiāng qǐ yì
平沈	píng shěn
平沉	píng chén
平沙	píng shā
平沙落雁	píng shā luò yàn
平治	píng zhì
平治天下	píng zhì tiān xià
平泉	píng quán
平泉庄	píng quán zhuāng
平法	píng fǎ
平波	píng bō
平波缓进	píng bō huǎn jìn
平注	píng zhù
平泽	píng zé
平洋地	píng yáng dì
平洒	píng sǎ
平津	píng jīn
平津邸	píng jīn dǐ
平津阁	píng jīn gé
平津馆	píng jīn guǎn
平活	píng huó
平流	píng liú
平流层	píng liú céng
平流缓进	píng liú huǎn jìn
平浅	píng qiǎn
平济	píng jì
平浮	píng fú
平涂	píng tú
平涤	píng dí
平涧	píng jiàn
平淡	píng dàn
平淡无味	píng dàn wú wèi
平淡无奇	píng dàn wú qí
平添	píng tiān
平渐	píng jiàn
平渥	píng wò
平溢	píng yì
平滑	píng huá
平滑肌	píng huá jī
平满	píng mǎn
平漫	píng màn
平潮	píng cháo
平澄	píng chéng
平澹	píng dàn
平澹无奇	píng dàn wú qí
平火	píng huǒ
平灭	píng miè
平炉	píng lú
平烟	píng yān
平熟	píng shú
平版	píng bǎn
平牒	píng dié
平状	píng zhuàng
平狱	píng yù
平理	píng lǐ
平生	píng shēng
平生不作亏心事，夜半敲门不吃惊	píng shēng bù zuò kuī xīn shì,yè bàn qiāo mén bù chī jīng
平生之好	píng shēng zhī hào
平生之志	píng shēng zhī zhì
平生之愿	píng shēng zhī yuàn
平生欢	píng shēng huān
平生莫做亏心事，半夜敲门不吃惊	píng shēng mò zuò kuī xīn shì,bàn yè qiāo mén bù chī jīng
平甸	píng diān
平画	píng huà
平畅	píng chàng
平畦	píng qí
平畴	píng chóu
平白	píng bái
平白无故	píng bái wú gù
平白无辜	píng bái wú gū
平皋	píng gāo
平盈	píng yíng
平盘	píng pán
平目	píng mù
平直	píng zhí
平看	píng kàn
平睦	píng mù
平瞻	píng zhān
平码馆	píng mǎ guǎn
平碧	píng bì
平礼	píng lǐ
平秎	píng fèn
平秩	píng zhì
平移	píng yí
平稳	píng wěn
平空	píng kōng
平窿	píng lóng
平章	píng zhāng
平端	píng duān
平等	píng děng
平等互利	píng děng hù lì
平等法会	píng děng fǎ huì
平简	píng jiǎn
平米	píng mǐ
平籴	píng dí
平粜	píng tiào
平粹	píng cuì
平素	píng sù
平紬	píng chóu
平緑	píng lǜ
平繇	píng yáo
平纹	píng wén
平绒	píng róng
平缓	píng huǎn
平罪	píng zuì
平署	píng shǔ
平翅	píng chì
平肃	píng sù
平肆	píng sì
平肩舆	píng jiān yú
平胁曼肤	píng xié màn fū
平脉	píng mài
平脊	píng jí
平脱	píng tuō
平至	píng zhì
平良	píng liáng
平芜	píng wú
平英团	píng yīng tuán
平荡	píng dàng
平药	píng yào
平莹	píng yíng
平莽	píng mǎng
平蔚	píng wèi
平虑	píng lǜ
平虑草	píng lǜ cǎo
平虚	píng xū
平行	píng xíng
平行作业	píng xíng zuò yè
平行六面体	píng xíng liù miàn tǐ
平行四边形	píng xíng sì biān xíng
平行线	píng xíng xiàn
平衍	píng yǎn
平衍旷荡	píng yǎn kuàng dàng
平衡	píng héng
平衡感觉	píng héng gǎn jué
平衡木	píng héng mù
平衡觉	píng héng jué
平衢	píng qú
平补	píng bǔ
平装	píng zhuāng
平裕	píng yù
平西	píng xī
平视	píng shì
平角	píng jiǎo
平解	píng jiě
平讨	píng tǎo
平议	píng yì
平论	píng lùn
平词	píng cí
平话	píng huà
平语	píng yǔ
平说	píng shuō
平调	píng diào
平调曲	píng diào qū
平谈	píng tán
平谳	píng yàn
平账	píng zhàng
平贱	píng jiàn
平贴	píng tiē
平贷	píng dài
平贾	píng jiǎ
平赃	píng zāng
平赋	píng fù
平起平坐	píng qǐ píng zuò
平足	píng zú
平跟	píng gēn
平路	píng lù
平蹉	píng cuō
平身	píng shēn
平车	píng chē
平转	píng zhuǎn
平较	píng jiào
平辇	píng niǎn
平辈	píng bèi
平运	píng yùn
平进	píng jìn
平远	píng yuǎn
平适	píng shì
平途	píng tú
平通	píng tōng
平逵	píng kuí
平道	píng dào
平遣	píng qiǎn
平配	píng pèi
平野	píng yě
平金	píng jīn
平钝	píng dùn
平钱	píng qián
平铨	píng quán
平铺	píng pù
平铺直叙	píng pū zhí xù
平铺直序	píng pū zhí xù
平销	píng xiāo
平门	píng mén
平阡	píng qiān
平阳	píng yáng
平阳酒	píng yáng jiǔ
平陂	píng bēi
平陆	píng lù
平陈	píng chén
平除	píng chú
平陵	píng líng
平陵东	píng líng dōng
平陷	píng xiàn
平隰	píng xí
平难	píng nán
平雅	píng yǎ
平露	píng lù
平靖	píng jìng
平静	píng jìng
平静无事	píng jìng wú shì
平面	píng miàn
平面交叉	píng miàn jiāo chā
平面几何	píng miàn jǐ hé
平面图	píng miàn tú
平面媒体	píng miàn méi tǐ
平面子	píng miàn zi
平面极坐标系	píng miàn jí zuò biāo xì
平面波	píng miàn bō
平面直角坐标系	píng miàn zhí jiǎo zuò biāo xì
平面视	píng miàn shì
平面角	píng miàn jiǎo
平面镜	píng miàn jìng
平韵	píng yùn
平顺	píng shùn
平颁	píng bān
平颇	píng pǒ
平风静浪	píng fēng jìng làng
平鬲	píng gé
平鱼	píng yú
平鲉	píng yóu
年丈	nián zhàng
年三十	nián sān shí
年上	nián shàng
年下	nián xià
年世	nián shì
年中	nián zhōng
年丰	nián fēng
年丰岁稔	nián fēng suì rěn
年丰时稔	nián fēng shí rěn
年久失修	nián jiǔ shī xiū
年久日深	nián jiǔ rì shēn
年事	nián shì
年事已高	nián shì yǐ gāo
年产量	nián chǎn liàng
年代	nián dài
年份	nián fèn
年会	nián huì
年伯	nián bó
年位	nián wèi
年作	nián zuò
年侄	nián zhí
年例	nián lì
年侍生	nián shì shēng
年侵	nián qīn
年俭	nián jiǎn
年俸	nián fèng
年候儿	nián hòu ér
年假	nián jià
年兄	nián xiōng
年光	nián guāng
年关	nián guān
年几	nián jǐ
年分	nián fēn
年刊	nián kān
年初	nián chū
年利	nián lì
年力	nián lì
年劳	nián láo
年华	nián huá
年华垂暮	nián huá thuí mù
年华欲催	nián huá yù cuī
年华虚度	nián huá xū dù
年历	nián lì
年发	nián fā
年号	nián hào
年名	nián míng
年命	nián mìng
年器	nián qì
年团子	nián tuán zi
年均	nián jūn
年壮	nián zhuàng
年壮气盛	nián zhuàng qì shèng
年壮气锐	nián zhuàng qì ruì
年复一年	nián fù yī nián
年夜	nián yè
年夜饭	nián yè fàn
年头	nián tóu
年头儿	nián tóu ér
年头月尾	nián tóu yuè wěi
年始	nián shǐ
年审	nián shěn
年宦	nián huàn
年家	nián jiā
年家子	nián jiā zi
年富力强	nián fù lì qiáng
年对	nián duì
年寿	nián shòu
年尊	nián zūn
年少	nián shào
年少无知	nián shào wú zhī
年少气盛	nián shào qì shèng
年尽岁除	nián jìn suì chú
年尾	nián wěi
年岁	nián suì
年已及艾	nián yǐ jí ài
年已蹉跎	nián yǐ cuō tuó
年市	nián shì
年帖	nián tiē
年常	nián cháng
年年岁岁	nián nián suì suì
年幼	nián yòu
年幼无知	nián yòu wú zhī
年底	nián dǐ
年庚	nián gēng
年度	nián dù
年开	nián kāi
年弟	nián dì
年弱	nián ruò
年律	nián lǜ
年德	nián dé
年忌	nián jì
年息	nián xī
年成	nián chéng
年所	nián suǒ
年把	nián bǎ
年报	nián bào
年支	nián zhī
年敬	nián jìng
年数	nián shù
年方弱冠	nián fāng ruò guàn
年时	nián shí
年春	nián chūn
年晩生	nián wǎn shēng
年景	nián jǐng
年暮	nián mù
年月	nián yuè
年期	nián qī
年末	nián mò
年朽	nián xiǔ
年来	nián lái
年杪	nián miǎo
年柳	nián liǔ
年根	nián gēn
年检	nián jiǎn
年次	nián cì
年流	nián liú
年涯	nián yá
年深	nián shēn
年深岁久	nián shēn suì jiǔ
年深日久	nián shēn rì jiǔ
年深月久	nián shēn yuè jiǔ
年淹日久	nián yān rì jiǔ
年湮世远	nián yān shì yuǎn
年湮代远	nián yān dài yuǎn
年灾	nián zāi
年灾月厄	nián zāi yuè è
年灾月晦	nián zāi yuè huì
年物	nián wù
年状	nián zhuàng
年班	nián bān
年甲	nián jiǎ
年画	nián huà
年疏	nián shū
年登	nián dēng
年登花甲	nián dēng huā jiǎ
年盘	nián pán
