# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
一佛升天，二佛出世	yī fó shēng tiān，èr fó chū shì
一例	yī lì
一依旧式	yī yī jiù shì
一倡一和	yī chàng yī hé
一倡三叹	yī chàng sān tàn
一倡百和	yī chàng bǎi hè
一假手之劳	yī jiǎ shǒu zhī láo
一偏	yī piān
一偏之见	yī piān zhī jiàn
一偏之言	yī piān zhī yán
一偏之论	yī piān zhī lùn
一停	yī tíng
一偷	yī tōu
一傅众咻	yī fù zhòng xiū
一傮情二傮例	yī zāo qíng èr zāo lì
一元	yī yuán
一元化	yī yuán huà
一元复始	yī yuán fù shǐ
一元大武	yī yuán dà wǔ
一元木公	yī yuán mù gōng
一元论	yī yuán lùn
一光	yī guāng
一克	yī kè
一党	yī dǎng
一八四四年经济学哲学手稿	yī bā sì sì nián jīng jì xué zhé xué shǒu gǎo
一六兀剌	yī liù wù lá
一共	yī gòng
一再	yī zài
一再则宥，三则不赦	yī zài zé yòu，sān zé bù shè
一再行	yī zài xíng
一军流涕	yī jūn liú tì
一军皆惊	yī jūn jiē jīng
一冲性子	yī chōng xìng zi
一决胜负	yī jué shèng fù
一决雌雄	yī jué cí xióng
一准	yī zhǔn
一出	yī chū
一击即溃	yī jī jí kuì
一函符	yī hán fú
一刀一割	yī dāo yī gē
一刀一枪	yī dāo yī qiāng
一刀两断	yī dāo liǎng duàn
一刀两段	yī dāo liǎng duàn
一刀切	yī dāo qiē
一分一厘	yī fēn yī lí
一分一毫	yī fēn yī háo
一分为二	yī fēn wéi èr
一分子	yī fèn zi
一分耕耘，一分收获	yī fēn gēng yún，yī fēn shōu huò
一切	yī qiè
一切万物	yī qiē wàn wù
一切之权	yī qiè zhī quán
一切众生	yī qiè zhòng shēng
一切智	yī qiè zhì
一切有情	yī qiè yǒu qíng
一切法	yī qiè fǎ
一切种智	yī qiè zhǒng zhì
一切经	yī qiè jīng
一切诸佛	yī qiè zhū fú
一则一，二则二	yī zé yī，èr zé èr
一则以喜，一则以惧	yī zé yǐ xǐ，yī zé yǐ jù
一别如雨	yī bié rú yǔ
一别气	yī bié qì
一刬	yī chǎn
一到	yī dào
一到处	yī dào chù
一刹那	yī chà nà
一刹那间	yī chà nà jiān
一刹那顷	yī chà nà qǐng
一刻	yī kè
一刻千金	yī kè qiān jīn
一前一却	yī qián yī què
一剏	yī chuàng
一剑之任	yī jiàn zhī rèn
一剪梅	yī jiǎn méi
一副急泪	yī fù jí lèi
一割	yī gē
一力	yī lì
一力吹嘘	yī lì chuī xū
一力当先	yī lì dāng xiān
一力承当	yī lì chéng dāng
一力承担	yī lì chéng dān
一力担当	yī lì dān dāng
一力拒守	yī lì jù shǒu
一力撺掇	yī lì cuān duō
一力降十会	yī lì xiáng shí huì
一动	yī dòng
一动不动	yī dòng bù dòng
一动不如一静	yī dòng bù rú yī jìng
一劳久逸	yī láo jiǔ yì
一劳永逸	yī láo yǒng yì
一势	yī shì
一勇之夫	yī yǒng zhī fū
一勇性	yī yǒng xìng
一勺烩	yī sháo huì
一包在内	yī bāo zài nèi
一化齐俗	yī huā qí sú
一匝	yī zā
一匡九合	yī kuāng jiǔ hé
一匡天下	yī kuāng tiān xià
一匹	yì pǐ
一匹锦	yì pǐ jǐn
一匹雏	yì pǐ chú
一区	yī qū
一十八层地狱	yī shí bā céng dì yù
一十八般兵器	yī shí bā bān bīng qì
一十八般武艺	yī shí bā bān wǔ yì
一千八百担	yī qiān bā bǎi dān
一半	yí bàn
一半天	yí bàn tiān
一卒之令	yī zú zhī lìng
一卒之田	yī zú zhī tián
一卒毕力	yī zú bì lì
一卒田	yī zú tián
一卡通	yī kǎ tōng
一卦	yī guà
一卧不起	yī wò bù qǐ
一卷书	yī juàn shū
一历历	yī lì lì
一厘一毫	yī lí yī háo
一厢	yī xiāng
一厢情原	yī xiāng qíng yuán
一厢情愿	yī xiāng qíng yuàn
一去不复返	yī qù bù fù fǎn
一去不复还	yī qù bù fù huán
一去不返	yī qù bù fǎn
一去不还	yī qù bù huán
一又	yī yòu
一双两好	yī shuāng liǎng hǎo
一双两美	yī shuāng liǎng měi
一反一复	yī fǎn yī fù
一反其道	yī fǎn qí dào
一反常态	yī fǎn cháng tài
一反既往	yī fǎn jì wǎng
一发	yī fà
一发不可收拾	yī fā ér bù shōu shí
一发千钧	yī fà qiān jūn
一发双贯	yī fā shuāng guàn
一发破的	yī fā pò dì
一发而不可收	yī fā ér bù kě shōu
一发而不可收拾	yī fā ér bù kě shōu shí
一叠连声	yī dié lián shēng
一口	yī kǒu
一口一声	yī kǒu yī shēng
一口三舌	yī kǒu sān shé
一口不能着两匙	yī kǒu bù néng zhe liǎng shi
一口不能著两匙	yī kǒu bù néng zhuó liǎng chí
一口两匙	yī kǒu liǎng chí
一口价	yī kǒu jià
一口吃个胖子	yī kǒu chī gè pàng zi
一口同声	yī kǒu tóng shēng
一口同音	yī kǒu tóng yīn
一口吸尽西江水	yī kǒu xī jìn xī jiāng shuǐ
一口咬定	yī kǒu yǎo dìng
一口所敌	yī kǒu suǒ dí
一口气	yì kǒu qì
一口道破	yī kǒu dào pò
一口钟	yī kǒu zhōng
一口长斋	yī kǒu cháng zhāi
一口颂歌	yī kǒu sòng gē
一古脑儿	yī gǔ nǎo er
一句撞倒墙	yī jù zhuàng dǎo qiáng
一句钟	yī jù zhōng
一只舄	yī zhī xì
一台二妙	yī tái èr miào
一叶	yī yè
一叶两豆	yī yè liǎng dòu
一叶扁舟	yī yè piān zhōu
一叶报秋	yī yè bào qiū
一叶知秋	yī yè zhī qiū
一叶秋	yī yè qiū
一叶落知天下秋	yī yè luò zhī tiān xià qiū
一叶蔽目	yī yè bì mù
一叶蔽目，不见泰山	yī yè bì mù，bù jiàn tài shān
一叶迷山	yī yè mí shān
一叶障目	yī yè zhàng mù
一叶障目，不见泰山	yī yè zhàng mù，bù jiàn tài shān
一号	yī hào
一叹下霜	yī tàn xià shuāng
一各多	yī gè duō
一合再离	yī hé zài lí
一同	yī tóng
一吐	yī tǔ
一吐为快	yī tǔ wéi kuài
一向	yí xiàng
一向子	yí xiàng zi
一向眠	yí xiàng mián
一吟一咏	yī yīn yī yǒng
一吠百声	yī fèi bǎi shēng
一吹一唱	yī chuī yī chàng
一周	yī zhōu
一周回	yī zhōu huí
一周遭	yī zhōu zāo
一味	yī wèi
一呵而就	yī hē ér jiù
一呼	yī hū
一呼三颠	yī hū sān diān
一呼再喏	yī hū zài nuò
一呼即集	yī hū jí jí
一呼百和	yī hū bǎi hè
一呼百应	yī hū bǎi yìng
一呼百诺	yī hū bǎi nuò
一呼而集	yī hū ér jí
一命之荣	yī mìng zhī róng
一命呜呼	yī mìng wū hū
一命归西	yī mìng guī xī
一命归阴	yī mìng guī yīn
一命鸣呼	yī mìng míng hū
一和和	yī hé hé
一咏一觞	yī yǒng yī shāng
一咏三叹	yī yǒng sān tàn
一咕噜	yī gū lū
一品子	yī pǐn zi
一品白衫	yī pǐn bái shān
一品红	yī pǐn hóng
一品锅	yī pǐn guō
一哄	yī hǒng
一哄而上	yī hǒng ér shàng
一哄而散	yī hōng ér sàn
一哄而起	yī hōng ér qǐ
一哄而集	yī hòng ér jí
一响百应	yī xiǎng bǎi yìng
一唱	yī chàng
一唱一和	yī chàng yī hè
一唱三叹	yī chàng sān tàn
一唱众和	yī chàng zhòng hè
一唱百和	yī chàng bǎi hé
一唱雄鸡天下白	yī chàng xióng jī tiān xià bái
一唾	yī tuò
一善	yī shàn
一喜一悲	yī xǐ yī bēi
一喝	yī hē
一喷一醒	yī pēn yī xǐng
一嗣	yī sì
一嘟噜	yī dū lū
一噎止餐	yī yē zhǐ cān
一嚬一笑	yī pín yī xiào
一回	yī huí
一回一迷	yī huí yī mí
一回家	yī huí jiā
一团和气	yī tuán hé qì
一团娇	yī tuán jiāo
一团漆黑	yī tuán qī hēi
一团糟	yī tuán zāo
一国三公	yī guó sān gōng
一国两制	yī guó liǎng zhì
一国狂	yī guó kuáng
