# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

时间	名	shíjiān	334	一级
事	名	shì	335	一级
试	动	shì	336	一级
是	动	shì	337	一级
是不是		shì bu shì	338	一级
手	名	shǒu	339	一级
手机	名	shǒujī	340	一级
书	名	shū	341	一级
书包	名	shūbāo	342	一级
书店	名	shūdiàn	343	一级
树	名	shù	344	一级
水	名	shuǐ	345	一级
水果	名	shuǐguǒ	346	一级
睡	动	shuì	347	一级
睡觉		shuì∥jiào	348	一级
说	动	shuō	349	一级
说话		shuō∥huà	350	一级
四	数	sì	351	一级
送	动	sòng	352	一级
岁	量	suì	353	一级
他	代	tā	354	一级
他们	代	tāmen	355	一级
她	代	tā	356	一级
她们	代	tāmen	357	一级
太	副	tài	358	一级
天	名、量	tiān	359	一级
天气	名	tiānqì	360	一级
听	动	tīng	361	一级
听到		tīngdào	362	一级
听见		tīng∥jiàn	363	一级
听写	动	tīngxiě	364	一级
同学	名	tóngxué	365	一级
图书馆	名	túshūguǎn	366	一级
外	名	wài	367	一级
外边	名	wàibian	368	一级
外国	名	wàiguó	369	一级
外语	名	wàiyǔ	370	一级
玩儿	动	wánr	371	一级
晚	形	wǎn	372	一级
晚饭	名	wǎnfàn	373	一级
晚上	名	wǎnshang	374	一级
网上		wǎng shang	375	一级
网友	名	wǎngyǒu	376	一级
忘	动	wàng	377	一级
忘记	动	wàngjì	378	一级
问	动	wèn	379	一级
我	代	wǒ	380	一级
我们	代	wǒmen	381	一级
五	数	wǔ	382	一级
午饭	名	wǔfàn	383	一级
西	名	xī	384	一级
西边	名	xībian	385	一级
洗	动	xǐ	386	一级
洗手间	名	xǐshǒujiān	387	一级
喜欢	动	xǐhuan	388	一级
下	名、动	xià	389	一级
下班		xià∥bān	390	一级
下边	名	xiàbian	391	一级
下车		xià chē	392	一级
下次		xià cì	393	一级
下课		xià∥kè	394	一级
下午	名	xiàwǔ	395	一级
下雨		xià yǔ	396	一级
先	副	xiān	397	一级
先生	名	xiānsheng	398	一级
现在	名	xiànzài	399	一级
想	动	xiǎng	400	一级
小	形	xiǎo	401	一级
小孩儿	名	xiǎoháir	402	一级
小姐	名	xiǎojiě	403	一级
小朋友	名	xiǎopéngyǒu	404	一级
小时	名	xiǎoshí	405	一级
小学	名	xiǎoxué	406	一级
小学生	名	xiǎoxuéshēng	407	一级
笑	动	xiào	408	一级
写	动	xiě	409	一级
谢谢	动	xièxie	410	一级
新	形	xīn	411	一级
新年	名	xīnnián	412	一级
星期	名	xīngqī	413	一级
星期日	名	xīngqīrì	414	一级
星期天	名	xīngqītiān	415	一级
行	动、形	xíng	416	一级
休息	动	xiūxi	417	一级
学	动	xué	418	一级
学生	名	xué·shēng	419	一级
学习	动	xuéxí	420	一级
学校	名	xuéxiào	421	一级
学院	名	xuéyuàn	422	一级
要	动	yào	423	一级
爷爷	名	yéye	424	一级
也	副	yě	425	一级
页	量	yè	426	一级
一	数	yī	427	一级
衣服	名	yīfu	428	一级
医生	名	yīshēng	429	一级
医院	名	yīyuàn	430	一级
一半	数	yíbàn	431	一级
一会儿		yíhuìr	432	一级
一块儿	名、副	yíkuàir	433	一级
一下儿		yíxiàr	434	一级
一样	形	yíyàng	435	一级
一边	名、副	yìbiān	436	一级
一点儿		yìdiǎnr	437	一级
一起	副、名	yìqǐ	438	一级
一些		yìxiē	439	一级
用	动	yòng	440	一级
有	动	yǒu	441	一级
有的	代	yǒude	442	一级
有名		yǒu∥míng	443	一级
有时候∣有时	副	yǒushíhou∣yǒushí	444	一级
有（一）些	代	yǒu(yì)xiē	445	一级
有用	动	yǒuyòng	446	一级
右	名	yòu	447	一级
右边	名	yòubian	448	一级
雨	名	yǔ	449	一级
元	量	yuán	450	一级
远	形	yuǎn	451	一级
月	名	yuè	452	一级
再	副	zài	453	一级
再见	动	zàijiàn	454	一级
在	动、介、副	zài	455	一级
在家	动	zàijiā	456	一级
早	形	zǎo	457	一级
早饭	名	zǎofàn	458	一级
早上	名	zǎoshang	459	一级
怎么	代	zěnme	460	一级
站	名	zhàn	461	一级
找	动	zhǎo	462	一级
找到		zhǎodào	463	一级
这	代	zhè	464	一级
这边	代	zhèbiān	465	一级
这里	代	zhè·lǐ	466	一级
这儿	代	zhèr	467	一级
这些	代	zhèxiē	468	一级
着	助	zhe	469	一级
真	副、形	zhēn	470	一级
真的		zhēn de	471	一级
正	副	zhèng	472	一级
正在	副	zhèngzài	473	一级
知道	动	zhī·dào	474	一级
知识	名	zhīshi	475	一级
中	名	zhōng	476	一级
中国	名	Zhōngguó	477	一级
中间	名	zhōngjiān	478	一级
中文	名	Zhōngwén	479	一级
中午	名	zhōngwǔ	480	一级
中学	名	zhōngxué	481	一级
中学生	名	zhōngxuéshēng	482	一级
重	形	zhòng	483	一级
重要	形	zhòngyào	484	一级
住	动	zhù	485	一级
准备	动	zhǔnbèi	486	一级
桌子	名	zhuōzi	487	一级
字	名	zì	488	一级
子（桌子）	后缀	zi (zhuōzi)	489	一级
走	动	zǒu	490	一级
走路		zǒu∥lù	491	一级
最	副	zuì	492	一级
最好	副	zuìhǎo	493	一级
最后	名	zuìhòu	494	一级
昨天	名	zuótiān	495	一级
左	名	zuǒ	496	一级
左边	名	zuǒbian	497	一级
坐	动	zuò	498	一级
坐下		zuò xia	499	一级
做	动	zuò	500	一级
啊	助	a	501	二级
爱情	名	àiqíng	502	二级
爱人	名	àiren	503	二级
安静	形、动	ānjìng	504	二级
安全	形、名	ānquán	505	二级
白色	名	báisè	506	二级
班长	名	bānzhǎng	507	二级
办	动	bàn	508	二级
办法	名	bànfǎ	509	二级
办公室	名	bàngōngshì	510	二级
半夜	名	bànyè	511	二级
帮助	动	bāngzhù	512	二级
饱	形	bǎo	513	二级
报名		bào∥míng	514	二级
报纸	名	bàozhǐ	515	二级
北方	名	běifāng	516	二级
背	动	bèi	517	二级
比如	动	bǐrú	518	二级
比如说		bǐrú shuō	519	二级
笔	名、量	bǐ	520	二级
笔记	名	bǐjì	521	二级
笔记本	名	bǐjìběn	522	二级
必须	副	bìxū	523	二级
边	名	biān	524	二级
变	动	biàn	525	二级
变成		biànchéng	526	二级
遍	量	biàn	527	二级
表	名	biǎo	528	二级
表示	动、名	biǎoshì	529	二级
不错	形	búcuò	530	二级
不但	连	búdàn	531	二级
不够	动、副	búgòu	532	二级
不过	连	búguò	533	二级
不太		bú tài	534	二级
不要	副	búyào	535	二级
不好意思		bù hǎoyìsi	536	二级
不久	形	bùjiǔ	537	二级
不满	形	bùmǎn	538	二级
不如	动	bùrú	539	二级
不少		bù shǎo	540	二级
不同		bù tóng	541	二级
不行	动、形	bùxíng	542	二级
不一定	副	bùyídìng	543	二级
不一会儿		bù yíhuìr	544	二级
部分	名	bùfen	545	二级
才	副	cái	546	二级
菜单	名	càidān	547	二级
参观	动	cānguān	548	二级
参加	动	cānjiā	549	二级
草	名	cǎo	550	二级
草地	名	cǎodì	551	二级
层	量	céng	552	二级
查	动	chá	553	二级
差不多	形、副	chàbuduō	554	二级
长	形	cháng	555	二级
常见		cháng jiàn	556	二级
常用		cháng yòng	557	二级
场	量	chǎng	558	二级
超过	动	chāoguò	559	二级
超市	名	chāoshì	560	二级
车辆	名	chēliàng	561	二级
称1	动	chèn	562	二级
成	动	chéng	563	二级
成绩	名	chéngjì	564	二级
成为	动	chéngwéi	565	二级
重复	动	chóngfù	566	二级
重新	副	chóngxīn	567	二级
出发	动	chūfā	568	二级
出国		chū∥guó	569	二级
出口	名	chūkǒu	570	二级
出门		chū∥mén	571	二级
出生	动	chūshēng	572	二级
出现	动	chūxiàn	573	二级
出院		chū∥yuàn	574	二级
出租	动	chūzū	575	二级
出租车	名	chūzūchē	576	二级
船	名	chuán	577	二级
吹	动	chuī	578	二级
春节	名	Chūnjié	579	二级
春天	名	chūntiān	580	二级
词	名	cí	581	二级
词典	名	cídiǎn	582	二级
词语	名	cíyǔ	583	二级
从小	副	cóngxiǎo	584	二级
答应	动	dāying	585	二级
打工		dǎ∥gōng	586	二级
打算	动、名	dǎ·suàn	587	二级
打印	动	dǎyìn	588	二级
大部分	名	dàbùfen	589	二级
大大	副	dàdà	590	二级
大多数	名	dàduōshù	591	二级
大海	名	dàhǎi	592	二级
大家	代	dàjiā	593	二级
大量	形	dàliàng	594	二级
大门	名	dàmén	595	二级
大人	名	dàren	596	二级
大声		dà shēng	597	二级
大小	名	dàxiǎo	598	二级
大衣	名	dàyī	599	二级
大自然	名	dàzìrán	600	二级
带	动	dài	601	二级
带来		dài·lái	602	二级
单位	名	dānwèi	603	二级
但	连	dàn	604	二级
但是	连	dànshì	605	二级
蛋	名	dàn	606	二级
当	动、介	dāng	607	二级
当时	名	dāngshí	608	二级
倒	动	dǎo	609	二级
到处	副	dàochù	610	二级
倒	动	dǎo	611	二级
道	量	dào	612	二级
道理	名	dào·lǐ	613	二级
道路	名	dàolù	614	二级
得	动	dé	615	二级
得出		déchū	616	二级
的话	助	dehuà	617	二级
得	助	de	618	二级
灯	名	dēng	619	二级
等	助、名	děng	620	二级
等到	介	děngdào	621	二级
等于	动	děngyú	622	二级
低	形、动	dī	623	二级
地球	名	dìqiú	624	二级
地铁	名	dìtiě	625	二级
地铁站	名	dìtiězhàn	626	二级
点头		diǎn∥tóu	627	二级
店	名	diàn	628	二级
掉	动	diào	629	二级
东北	名	dōngběi	630	二级
东方	名	dōngfāng	631	二级
东南	名	dōngnán	632	二级
冬天	名	dōngtiān	633	二级
懂	动	dǒng	634	二级
懂得	动	dǒngde	635	二级
动物	名	dòngwù	636	二级
动物园	名	dòngwùyuán	637	二级
读音	名	dúyīn	638	二级
度	名、量	dù	639	二级
短	形	duǎn	640	二级
短信	名	duǎnxìn	641	二级
段	量	duàn	642	二级
队	名	duì	643	二级
队长	名	duìzhǎng	644	二级
对	介、动	duì	645	二级
对话	动、名	duìhuà	646	二级
对面	名	duìmiàn	647	二级
多	副	duō	648	二级
多久	代	duōjiǔ	649	二级
多么	副	duōme	650	二级
多数	名	duōshù	651	二级
多云	名	duōyún	652	二级
而且	连	érqiě	653	二级
发	动	fā	654	二级
发现	动、名	fāxiàn	655	二级
饭馆	名	fànguǎn	656	二级
方便	形	fāngbiàn	657	二级
方便面	名	fāngbiànmiàn	658	二级
方法	名	fāngfǎ	659	二级
方面	名	fāngmiàn	660	二级
方向	名	fāngxiàng	661	二级
放下		fàngxia	662	二级
放心		fàng∥xīn	663	二级
分	动	fēn	664	二级
分开		fēn∥kāi	665	二级
分数	名	fēnshù	666	二级
分钟	量	fēnzhōng	667	二级
份	量	fèn	668	二级
封	量	fēng	669	二级
服务	动	fúwù	670	二级
复习	动	fùxí	671	二级
该	动	gāi	672	二级
改	动	gǎi	673	二级
改变	动、名	gǎibiàn	674	二级
干杯		gān∥bēi	675	二级
感到	动	gǎndào	676	二级
感动	形、动	gǎndòng	677	二级
感觉	动、名	gǎnjué	678	二级
感谢	动	gǎnxiè	679	二级
干活儿		gàn∥huór	680	二级
刚	副	gāng	681	二级
刚才	名	gāngcái	682	二级
刚刚	副	gānggāng	683	二级
高级	形	gāojí	684	二级
高中	名	gāozhōng	685	二级
个子	名	gèzi	686	二级
更	副	gèng	687	二级
公共汽车		gōnggòng qìchē	688	二级
公交车	名	gōngjiāochē	689	二级
公斤	量	gōngjīn	690	二级
公里	量	gōnglǐ	691	二级
公路	名	gōnglù	692	二级
公平	形	gōngpíng	693	二级
公司	名	gōngsī	694	二级
公园	名	gōngyuán	695	二级
狗	名	gǒu	696	二级
够	动、副	gòu	697	二级
故事	名	gùshi	698	二级
故意	副	gùyì	699	二级
顾客	名	gùkè	700	二级
关机		guān∥jī	701	二级
关心	动	guānxīn	702	二级
观点	名	guāndiǎn	703	二级
广场	名	guǎngchǎng	704	二级
广告	名	guǎnggào	705	二级
国际	名	guójì	706	二级
过来	动	guò·lái	707	二级
过年		guò∥nián	708	二级
过去	动	guò·qù	709	二级
过	助	guo	710	二级
海	名	hǎi	711	二级
海边		hǎi biān	712	二级
喊	动	hǎn	713	二级
好	副	hǎo	714	二级
好处	名	hǎochù	715	二级
好多	数	hǎoduō	716	二级
好久	形	hǎojiǔ	717	二级
好人	名	hǎorén	718	二级
好事	名	hǎoshì	719	二级
好像	副、动	hǎoxiàng	720	二级
合适	形	héshì	721	二级
河	名	hé	722	二级
黑	形	hēi	723	二级
黑板	名	hēibǎn	724	二级
黑色	名	hēisè	725	二级
红	形	hóng	726	二级
红色	名	hóngsè	727	二级
后来	名	hòulái	728	二级
忽然	副	hūrán	729	二级
湖	名	hú	730	二级
护照	名	hùzhào	731	二级
花	动	huā	732	二级
花园	名	huāyuán	733	二级
画	动	huà	734	二级
画家	名	huàjiā	735	二级
画儿	名	huàr	736	二级
坏处	名	huàichù	737	二级
坏人	名	huàirén	738	二级
欢迎	动	huānyíng	739	二级
换	动	huàn	740	二级
黄	形	huáng	741	二级
黄色	名	huángsè	742	二级
回	量	huí	743	二级
回国		huí guó	744	二级
会	名	huì	745	二级
活动	动、名	huódòng	746	二级
或	连	huò	747	二级
或者	连	huòzhě	748	二级
机会	名	jī·huì	749	二级
鸡	名	jī	750	二级
级	名	jí	751	二级
急	形	jí	752	二级
计划	名、动	jìhuà	753	二级
计算机	名	jìsuànjī	754	二级
加	动	jiā	755	二级
加油		jiā∥yóu	756	二级
家（科学家）	后缀	jiā (kēxuéjiā)	757	二级
家庭	名	jiātíng	758	二级
家长	名	jiāzhǎng	759	二级
假	形	jiǎ	760	二级
假期	名	jiàqī	761	二级
检查	动、名	jiǎnchá	762	二级
见到		jiàndào	763	二级
见过		jiànguo	764	二级
件	量	jiàn	765	二级
健康	形、名	jiànkāng	766	二级
讲	动	jiǎng	767	二级
讲话		jiǎng∥huà	768	二级
交	动	jiāo	769	二级
交给		jiāo gěi	770	二级
交朋友		jiāo péngyou	771	二级
交通	名	jiāotōng	772	二级
角	量、名	jiǎo	773	二级
角度	名	jiǎodù	774	二级
饺子	名	jiǎozi	775	二级
脚	名	jiǎo	776	二级
叫作	动	jiàozuò	777	二级
教师	名	jiàoshī	778	二级
教室	名	jiàoshì	779	二级
教学	名	jiàoxué	780	二级
教育	动、名	jiàoyù	781	二级
接	动	jiē	782	二级
接到		jiēdào	783	二级
接受	动	jiēshòu	784	二级
接下来		jiē ·xià·lái	785	二级
接着	动、副	jiēzhe	786	二级
街	名	jiē	787	二级
节	名、量	jié	788	二级
节目	名	jiémù	789	二级
节日	名	jiérì	790	二级
结果	名、连	jiéguǒ	791	二级
借	动	jiè	792	二级
斤	量	jīn	793	二级
今后	名	jīnhòu	794	二级
进入	动	jìnrù	795	二级
进行	动	jìnxíng	796	二级
近	形	jìn	797	二级
经常	副	jīngcháng	798	二级
经过	动、名	jīngguò	799	二级
经理	名	jīnglǐ	800	二级
酒	名	jiǔ	801	二级
酒店	名	jiǔdiàn	802	二级
就要	副	jiùyào	803	二级
举	动	jǔ	804	二级
举手	动	jǔshǒu	805	二级
举行	动	jǔxíng	806	二级
句	量	jù	807	二级
句子	名	jùzi	808	二级
卡	名	kǎ	809	二级
开机		kāi∥jī	810	二级
开心	形、动	kāixīn	811	二级
开学		kāi∥xué	812	二级
看法	名	kàn·fǎ	813	二级
考生	名	kǎoshēng	814	二级
靠	动	kào	815	二级
科	名	kē	816	二级
科学	名、形	kēxué	817	二级
可爱	形	kě’ài	818	二级
可能	动、形、名	kěnéng	819	二级
可怕	形	kěpà	820	二级
可是	连	kěshì	821	二级
可以	动	kěyǐ	822	二级
克	量	kè	823	二级
刻	量	kè	824	二级
客人	名	kè·rén	825	二级
课堂	名	kètáng	826	二级
空气	名	kōngqì	827	二级
哭	动	kū	828	二级
快餐	名	kuàicān	829	二级
快点儿		kuài diǎnr	830	二级
快乐	形	kuàilè	831	二级
快要	副	kuàiyào	832	二级
筷子	名	kuàizi	833	二级
拉	动	lā	834	二级
来自	动	láizì	835	二级
蓝	形	lán	836	二级
蓝色	名	lánsè	837	二级
篮球	名	lánqiú	838	二级
老	副	lǎo	839	二级
