# 香港粵語大詞典
# https://061061.xyz/39336.html
#
# 詞語	括號詞	頁碼

避忌		0059
避禮		0059
避年		0060
避車		0060
鼻哥		0060
鼻哥窿		0060
鼻哥窿冇肉		0060
鼻腍		0060
鼻水		0060
鼻涕蟲		0060
賓士		0060
餅		0060
餅家		0060
餅印		0060
餅咭		0060
併		0060
病君		0060
病貓		0060
病態賭徒		0060
病壞		0060
啤啤		0060
啤啤仔		0060
迫		0060
迫窄		0060
迫狹		0060
迫人		0061
迫車		0061
迫倉		0061
煏		0061
迫力		0061
邊		0061
邊度		0061
邊個		0061
邊處		0061
鞭		0061
扁嘴		0061
扁魚		0061
扁□□		0061
變態		0061
便		0061
便裝警員		0061
便服日		0061
便利店		0061
冰		0061
冰毒		0061
冰格		0061
冰片糖		0061
冰室		0061
冰箱		0061
乒乓波		0062
兵頭		0062
兵頭花園		0062
丙		0062
乒鈴𠾴唥		0062
咇		0062
必殺技		0062
標		0062
標奇立異		0062
標參		0062
標貼		0062
標青		0062
標會		0062
飆升		0062
錶肉		0062
錶面		0062
表表者		0063
表哥		0063
表妹		0063
表嬸		0063
表少		0063
表叔		0063
表錯情		0063
裱		0063
波		0063
波霸		0063
波板		0063
波板糖		0063
波餅		0063
波缽		0063
波打酒		0063
波子		0063
波經		0063
波鞋		0064
波纜		0064
波樓		0064
波羅雞——靠黐		0064
波牛		0064
波衫		0064
波士		0064
波箱		0064
波恤		0064
波場		0064
玻璃生菜		0064
菠蘿釘		0064
玻璃蓋		0064
噃		0064
㩧		0064
㩧㩧齋		0064
㩧帽		0064
㩧濕	㩧溼	0064
㩧頭黨		0064
㩧槌		0064
壆		0064
搏		0064
搏大膽		0064
搏大霧		0065
搏到盡		0065
搏亂		0065
搏命		0065
搏懵		0065
搏殺		0065
搏傻		0065
搏彩		0065
搏出位		0065
搏同情		0065
搏炒		0065
膊		0065
膊頭		0065
膊頭高過耳		0065
駁		0065
駁艔		0065
駁嘴		0065
駁嘴駁舌		0065
駁火		0065
駁腳		0065
駁骨		0065
駁口		0066
駁輪		0066
駁艇		0066
駁長		0066
薄英英		0066
薄絨		0066
薄笠		0066
薄皮		0066
薄身		0066
薄削		0066
薄罉		0066
薄切切		0066
幫		0066
幫辦		0066
幫補		0066
幫下眼		0066
幫口		0066
幫理不幫親		0066
幫手		0066
幫拖		0066
幫襯		0066
幫廚		0066
綁		0066
磅		0067
磅水		0067
傍家		0067
傍友		0067
煲		0067
煲電話粥		0067
煲碟		0067
煲冬瓜		0067
煲仔菜		0067
煲仔飯		0067
煲粥		0067
煲煙		0067
煲藥		0067
煲劇		0067
煲蠟		0067
煲老藕		0067
煲冇米粥		0067
煲濃粥		0067
煲水		0067
煲水新聞		0068
煲呔		0068
補習社		0068
補妝		0068
補鐘		0068
補粉		0068
補厴		0068
補𤶸		0068
補身		0068
補師		0068
補數		0068
補水		0068
補倉		0068
補鑊		0068
保險套		0068
保良局		0068
保你大		0068
保安		0068
保鮮紙		0068
保護費		0068
褓姆		0068
褓姆車		0068
寶藥黨		0068
簿		0068
簿仔		0068
布辦		0069
布甸		0069
布帳		0069
布冧		0069
布藝		0069
布碎		0069
布頭布尾		0069
報警		0069
報料		0069
報事貼		0069
報串		0069
步行電梯		0069
步級		0069
步操		0069
埗	埠	0069
埗頭		0069
菢		0069
菢竇		0069
布菲		0069
暴冷暴熱		0069
暴露		0069
暴瀉		0069
曝光		0069
曝光率		0069
杯碟		0069
杯葛		0070
杯耳		0070
杯麵		0070
背脊		0070
背脊骨		0070
背後		0070
背囊		0070
背心袋		0070
背手影		0070
背		0070
背角		0070
背語		0070
背默		0070
焙		0070
卜		0070
卜卜聲		0070
伏		0070
伏低		0070
伏兒人	伏伊人	0070
伏匿匿		0070
搬龍門		0070
搬屋		0070
搬是非		0070
本地薑唔辣		0070
本港		0071
本嚟		0071
本銀		0071
本票		0071
本心		0071
本事		0071
半		0071
半踭鞋		0071
半晝		0071
半鹹淡		0071
半陰陽		0071
半□□		0071
半賣		0071
半山		0071
半天吊		0071
半條命		0071
半唐番		0071
半桶水		0071
埲		0071
𩗴		0071
缽酒		0071
缽櫃		0071
𠼭		0071
𠼭𠼭車		0072
缽仔糕		0072
缽頭		0072
打		0072
打靶		0072
打靶鬼		0072
打敗仗		0072
打白鴿轉		0072
打包		0072
打包單		0072
打包踭		0072
打爆機		0072
打吡		0072
打鼻鼾		0072
打邊鼓		0072
打邊爐		0072
打簿		0072
打背語		0073
打本		0073
打大翻		0073
打大交		0073
打大赤肋		0073
打單		0073
打低		0073
打底		0073
打得更多夜又長		0073
打得少		0073
打突兀		0073
打地氣		0073
打地鋪		0073
打的		0073
打掂		0073
打定輸數		0073
打對台		0073
打倒掟		0073
打到嚟		0074
打倒褪		0074
打躉		0074
打齋		0074
打齋鶴——度你升仙		0074
打踭		0074
打褶		0074
打仔		0074
打仔明星		0074
打針雞		0074
打真軍		0074
打震		0074
打尖	打櫼	0074
打雀噉眼		0074
打掌		0074
打種		0074
打住家工		0074
打轉		0074
打飯炮		0074
打飛機		0074
打斧頭		0074
打風		0075
打風都打唔甩		0075
打風唔成三日雨		0075
打假波		0075
打價		0075
打格仔		0075
打交		0075
打交叉		0075
打救		0075
打機		0075
打個突		0075
打個𡃈		0075
打腳骨		0075
打估		0075
打工		0075
打工仔		0075
打功夫		0075
打工皇帝		0075
打關斗		0075
打喊露		0075
打乞嗤		0075
打起		0075
打芡		0075
打荷包		0075
打噎		0075
打預		0076
打完齋唔要和尚		0076
打咭		0076
打茄侖		0076
打困龍		0076
打爛齋缽		0076
打爛砂盆——璺到篤		0076
打冷		0076
打冷震		0076
打甩		0076
打理		0076
打纈		0076
打鑼都搵唔到		0076
打籠通		0076
打孖		0076
打麻雀		0076
打埋		0076
打茅波		0077
打冇頭關斗		0077
打霧水		0077
打牙鉸		0077
打仰		0077
打尿震		0077
打散工		0077
打蛇餅		0077
打蛇隨棍上		0077
打死都……		0077
打醒狗講價		0077
打醒精神		0077
打思噎		0077
打骰		0077
打小人		0077
打賞		0077
打水片		0077
打水撇		0077
打書釘		0077
打頭陣		0078
打頭鑼		0078
打剔		0078
打沉		0078
打赤腳		0078
打赤肋		0078
打出		0078
打通關		0078
打同通		0078
打壞		0078
打橫		0078
打橫嚟		0078
打友誼波		0078
大		0078
帶子		0078
帶家		0078
帶挈		0078
帶眼		0078
帶眼識人		0078
帶水		0078
戴		0078
戴綠帽		0078
大		0079
大阿哥		0079
大把		0079
大把世界		0079
大伯		0079
大班		0079
大板牙		0079
大包		0079
大包圍		0079
大笨象		0079
大啤		0079
大髀		0079
大鼻		0079
大餅		0079
大步𨂾過		0079
大大話話		0079
大單		0079
大帝		0079
大豆芽		0079
大地魚		0079
大癲大癈		0079
大電		0079
大碟		0079
大鈍		0079
打檔		0079
大堆頭		0079
大冬瓜		0079
大閘蟹		0080
大劑		0080
大掣		0080
大陣仗		0080
大執位		0080
大酒店		0080
大姐大		0080
大姐仔		0080
大雙		0080
大雙騾騾		0080
大雙講		0080
大雙佬		0080
大雙騾騾，跌落坑渠		0080
大枝嘢		0080
大姊		0080
大紙		0080
大字		0080
大直路		0080
大蕉		0080
大狀		0080
大早		0080
大造		0080
大種乞兒		0080
大花大朵		0081
大花面		0081
大花灑		0081
大花筒		0081
大番薯		0081
大發		0081
大□		0081
大飛		0081
大富由天，小富由儉		0081
大家姐		0081
大家噉話		0081
大家好做		0081
大假		0081
大覺瞓		0081
大雞唔食細米		0081
大偈		0081
大吉利是		0081
大嚿衰		0081
大頸泡		0082
大件事		0082
大哥大		0082
大個		0082
大個女		0082
大個仔		0082
大姑		0082
大過天		0082
大光燈		0082
大光燈——照遠唔照近		0082
大客仔		0082
大喊十		0082
大口扒		0082
大後日		0082
大戲		0082
大鄉里		0082
大海欖		0082
大汗疊細汗		0082
大喉		0082
大喉欖		0082
大紅大紫		0082
大圈		0082
大飲大食		0083
大人大姐		0083
大人有大量		0083
大癮		0083
大日子		0083
大嘢		0083
大姨媽		0083
大耳窿		0083
大耳牛		0083
大熱		0083
大熱倒灶		0083
大熱症		0083
大肉飯		0083
大蓉		0083
大魚		0083
大魚大肉		0083
大襟衫		0083
大妗		0083
大妗姐		0083
大茄		0083
大葵扇		0083
大菌食細菌，細菌當補品		0083
大纜扯唔埋		0084
大褸		0084
大律師		0084
大佬		0084
大佬倌		0084
大路貨		0084
大碌竹		0084
大碌木		0084
大碌藕		0084
大龍鳳		0084
大唔透		0084
大孖		0084
大孖瘡		0084
大媽		0084
大馬		0084
大命		0084
大面缽		0084
大模斯樣		0085
大懵		0085
大拿拿		0085
大蝻蛇		0085
大諗頭		0085
大淰		0085
大粒嘢		0085
大粒佬		0085
大眼仔		0085
大眼雞		0085
大押		0085
大牛		0085
大鱷		0085
大安旨意		0085
大糯		0085
大娘		0085
大牌		0085
大牌檔		0085
大泡和		0086
大炮		0086
大炮友		0086
大婆		0086
大沙炮		0086
大嘥		0086
大晒		0086
大殺三方		0086
大使		0086
大細超		0086
大手筆		0086
大蛇屙尿		0086
大石責死蟹		0086
大聲夾惡		0086
大聲公		0086
大時大節		0086
大市		0086
大食		0086
大食懶		0087
大食會		0087
大聖爺		0087
大小通殺		0087
大少		0087
大笑姑婆		0087
大傻		0087
大信封		0087
大水喉		0087
大餸		0087
大貪		0087
大頭佛		0087
大頭鬼		0087
大頭蝦		0087
大頭菜		0087
大頭狗		0087
大天二		0087
大條道理		0087
大肚		0087
大肚腩		0087
大肚婆		0087
大茶飯		0087
大餐		0087
大車		0088
大腸頭		0088
大出血		0088
大菜糕		0088
大艙		0088
大床		0088
大廚		0088
大話		0088
大鑊		0088
大鑊飯		0088
大王眼		0088
大換血		0088
擔		0088
擔戴		0088
擔大旗		0088
擔擔抬抬		0088
擔正		0088
擔幡買水		0088
擔綱		0088
擔屎都唔偷食		0088
擔承		0088
擔梯		0088
眈天望地		0089
膽		0089
膽正命平		0089
膽生毛		0089
膽生石		0089
膽識		0089
膽粗		0089
擔竿		0089
擔挑		0089
啖		0089
淡定		0089
淡友		0089
淡月		0089
淡市		0089
單		0089
單邊		0089
單打		0089
單單打打		0089
單丁		0089
單吊西		0089
單擋		0089
單刀		0089
單張		0090
單係		0090
單行		0090
單襟		0090
單企人		0090
單料		0090
單料銅煲——一滾就熟		0090
單眼		0090
單眼簷		0090
單眼佬睇榜——一眼睇晒		0090
單身寡仔		0090
單身寡佬		0090
單身貴族		0090
單親家庭		0090
單車		0090
單車徑		0090
單程證		0090
單位		0090
彈藥		0090
蛋茶		0090
蛋卷	蛋捲	0090
蛋散		0090
蛋撻		0090
蛋筒		0091
蜑家	疍家	0091
蜑家雞——見水唔得飲		0091
彈		0091
彈板		0091
彈弓		0091
彈弓手		0091
彈弓床		0091
彈牙		0091
彈票		0091
彈叉		0091
但係		0091
嗒		0091
嗒糖		0091
搭		0091
搭膊		0091
搭單		0091
搭檔		0091
搭嘴		0091
搭客		0091
搭路		0091
搭棚		0091
搭手		0091
搭食		0091
搭順風車		0092
搭上搭		0092
搭頭搭尾		0092
搭枱		0092
搭秤		0092
搭錯線		0092
搭通天地線		0092
沓		0092
沓正		0092
沓名		0092
疊水		0092
躂	撻	0092
撻朵		0092
笪		0092
達人		0092
低		0092
低B		0092
低波		0092
低莊		0092
低格		0093
低開		0093
低下階層		0093
低企		0093
低眉塞額		0093
低收		0093
低水		0093
低威		0093
低位		0093
抵		0093
抵埗	抵埠	0093
抵得		0093
抵得諗		0093
抵得爛		0093
抵冷		0093
抵力		0093
抵壘政策		0093
抵諗		0094
抵唔住頸		0094
抵手		0094
抵死		0094
抵食夾大件		0094
底		0094
底價		0094
底面		0094
底牌		0094
底衫		0094
底薪		0094
底褲		0094
渧		0094
諦		0094
遞		0094
第九		0094
第一時間		0094
第日		0094
第二		0094
第二期		0094
第尾		0094
第時		0094
弟嫂		0095
得		0095
得把口		0095
得把聲		0095
得啖笑		0095
得掂		0095
得罪人多，稱呼人少		0095
得滯		0095
得直		0095
得着		0095
得主		0095
得哥		0095
得個吉		0095
得個……字		0095
得過		0095
得閒		0095
得閒死唔得閒病		0095
得人……		0096
得意		0096
……得嚟		0096
得埋		0096
得米		0096
得失		0096
得戚		0096
……得切		0096
特登		0096
特首		0096
特惠金		0096
揼		0096
揼工		0096
抌		0096
抌心口		0096
抌心抌肺		0096
沊		0096
髧		0096
揼波鐘		0096
氹氹轉		0096
□□𡃈		0097
𨂽腳		0097
𨂽蹄𨂽爪		0097
躉	𣎴	0097
燉		0097
扽		0097
扽蝦籠		0097
